Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.07666204202831176,0.05826315194151693,left,0.6044937999686226,1,-0.24
2,0.1217526831475137,0.08279182454030931,left,0.45836639998015016,1,-0.32
3,0.06067997889697112,0.07524317383224419,right,0.3965440999600105,1,0.24
4,0.18352263178106465,0.212886252866035,right,0.46510599995963275,1,0.16
5,0.09961134530985334,0.09164243768506508,left,0.5254381999839097,1,-0.08
6,0.14402193201362767,0.14402193201362767,right,0.8044862999813631,0,0.0
7,0.15739931226511483,0.11962347732148727,left,0.36343359999591485,1,-0.24
8,0.15620434194227012,0.13121164723150688,right,0.4173822999582626,0,-0.16
9,0.08210318929645144,0.07553493415273532,right,0.8920975000364706,0,-0.08
10,0.14107476912438044,0.12978878759443002,left,0.8538902999716811,1,-0.08
11,0.1596803043581514,0.13413145566084717,left,0.6166614000103436,1,-0.16
12,0.1474874056399635,0.17108539054235763,right,0.5197872999706306,1,0.16
13,0.19898453985784675,0.19898453985784675,left,0.9323578999610618,0,0.0
14,0.19306282768541355,0.2548429325447459,right,0.5187702000257559,1,0.32
15,0.11577243857446937,0.10651064348851182,right,0.8414956000051461,0,-0.08
16,0.07154218295281847,0.05437205904414204,left,1.156358000007458,1,-0.24
17,0.1982796382239847,0.2141420092819035,left,0.9764598000328988,0,0.08
18,0.0663443753661358,0.05572927530755407,right,1.2270239999634214,0,-0.16
19,0.13217617456937092,0.08987979870717222,left,0.6120490999892354,1,-0.32
20,0.14426427152822618,0.15580541325048428,right,0.4793264999752864,1,0.08
21,0.06714203825919193,0.04565658601625051,left,0.5563602999900468,1,-0.32
22,0.05508447181937164,0.0638979873104711,right,0.43556279997574165,1,0.16
23,0.13089736391922255,0.10995378569214694,left,0.6391050000092946,1,-0.16
24,0.12461401036058208,0.16449049367596835,right,0.41078650002600625,1,0.32
25,0.1358452271950369,0.16844808172184575,right,0.5973683999618515,1,0.24
26,0.09573078486519893,0.09573078486519893,left,0.7906819000490941,0,0.0
27,0.15451753300747884,0.20396314356987208,right,0.5506462000194006,1,0.32
28,0.14556339260653323,0.19214367824062387,right,0.4998807999654673,1,0.32
29,0.055831533289355875,0.055831533289355875,left,0.8999948000418954,0,0.0
30,0.19604681425267562,0.14899557883203346,left,0.5922379000112414,1,-0.24
31,0.08704684402300424,0.10793808658852524,right,0.5186083000153303,1,0.24
32,0.05914876022427773,0.07334446267810439,right,0.47147560003213584,1,0.24
33,0.10172072719363229,0.10985838536912287,right,0.61480640002992,1,0.08
34,0.0643778438959124,0.0695280714075854,right,0.7346346999984235,1,0.08
35,0.12790215350293144,0.08697346438199337,left,0.6319754999713041,1,-0.32
36,0.17173993690494838,0.1992183268097401,right,0.3831201000139117,1,0.16
