Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.07249628703075933,0.05509717814337709,left,0.6963196999859065,1,-0.24
2,0.1341425053984542,0.1341425053984542,left,0.452536600001622,0,0.0
3,0.06782555224696811,0.04612137552793831,left,0.47846300003584474,1,-0.32
4,0.07276524419991139,0.07276524419991139,right,0.3876950000412762,0,0.0
5,0.12944822925283167,0.11909237091260515,left,0.3207663000212051,1,-0.08
6,0.18584366468299762,0.156108678333718,left,0.32632930000545457,1,-0.16
7,0.10833289087419062,0.14299941595393162,right,0.39672439999412745,1,0.32
8,0.13217507120931749,0.16389708829955368,right,0.40893099998356774,1,0.24
9,0.1861815075720039,0.14149794575472296,left,0.33318130002589896,1,-0.24
10,0.12905643581521564,0.1393809506804329,right,0.5239126000087708,1,0.08
11,0.12224544242313948,0.10268617163543715,left,0.6905568999936804,1,-0.16
12,0.06019275519818526,0.0698235960298949,right,0.5007716999971308,1,0.16
13,0.14019130358737547,0.12897599930038545,left,0.33898390003014356,1,-0.08
14,0.1263678720161321,0.09603958273226039,left,0.45985080004902557,1,-0.24
15,0.19646284644006085,0.18074581872485598,left,0.4121642999816686,1,-0.08
16,0.08491636918584555,0.07132975011611026,left,0.6089570000185631,1,-0.16
17,0.19437809351764468,0.20992834099905627,right,0.5325640999944881,1,0.08
18,0.10899138023552585,0.10899138023552585,right,0.5741151999682188,0,0.0
19,0.07022596876621179,0.08708020127010262,right,0.42157619999488816,1,0.24
20,0.10753805986564988,0.0817289254978939,left,0.4339110000291839,1,-0.24
21,0.17989129607407112,0.2230652071318482,right,0.5120889999670908,1,0.24
22,0.1497615473808403,0.18570431875224197,right,0.4729578000260517,1,0.24
23,0.18001252239918075,0.15121051881531183,left,0.32003680005436763,1,-0.16
24,0.15389345619359515,0.14158197969810754,left,0.3520268999855034,1,-0.08
25,0.161662015856933,0.21339386093115156,right,0.39451429998734966,1,0.32
26,0.14062028682249578,0.09562179503929712,left,0.4828566000214778,1,-0.32
27,0.19533116410923884,0.1328251915942824,left,0.42331050004577264,1,-0.32
28,0.16502829028478977,0.16502829028478977,right,0.3745360000175424,0,0.0
29,0.18234326826588393,0.19693072972715467,right,0.4596368999918923,1,0.08
30,0.1598946231423395,0.21106090254788815,right,0.415740399970673,1,0.32
31,0.05140616697186481,0.03495619354086806,left,0.5214332999894395,1,-0.32
32,0.1959992123117602,0.21167914929670104,right,0.5522651000064798,1,0.08
33,0.15069089702671656,0.1748014405509912,right,0.5351222000317648,1,0.16
34,0.12737278958287396,0.16813208224939363,right,0.5155226999777369,1,0.32
35,0.09780741305226034,0.11345659914062199,right,0.5952861999976449,1,0.16
36,0.10978324345776419,0.12734856241100645,right,0.5318900000420399,1,0.16
