Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.14608184095253957,0.11102219912393008,f,0.4037475000077393,1,-0.24
2,0.12412817837697422,0.11419792410681628,f,0.3486765999800991,1,-0.08
3,0.19878661815959522,0.19878661815959522,j,0.544840300019132,0,0.0
4,0.1469325212514068,0.18219632635174443,j,0.46719159997883253,1,0.24
5,0.15197291333943547,0.13981508027228062,f,0.3710643999907188,1,-0.08
6,0.12834675135152898,0.16941771178401827,j,0.3799609999987297,1,0.32
7,0.13967153654933634,0.0949766448535487,f,0.3539994000166189,1,-0.32
8,0.19509250318644136,0.22630730369627197,j,0.3263347999891266,1,0.16
9,0.18876773950450101,0.15856490118378086,f,0.3498589999799151,1,-0.16
10,0.10546694265909576,0.12234165348455107,j,0.45058430000790395,1,0.16
11,0.13580938060222708,0.16840363194676158,j,0.3923305999778677,1,0.24
12,0.1394915164987469,0.11717287385894738,f,0.39407109998865053,1,-0.16
13,0.13925499797517327,0.18381659732722871,j,0.36373080001794733,1,0.32
14,0.16872618963069375,0.14172999928978275,f,0.3091998999880161,1,-0.16
15,0.1263936764581302,0.15672815880808147,j,0.3561614000063855,1,0.24
16,0.1350459989315268,0.12424231901700467,f,0.5520824999944307,1,-0.08
17,0.15899475093243784,0.18443391108162788,j,0.40257129998644814,1,0.16
18,0.19431683660415938,0.22540753046082487,j,0.5534231000056025,1,0.16
19,0.18481137601254602,0.1256717356885313,f,0.4247330999933183,1,-0.32
20,0.11088266603066364,0.08427082618330436,f,0.5861826000036672,1,-0.24
21,0.126305998565248,0.126305998565248,j,0.413230600010138,0,0.0
22,0.1664892087247592,0.13985093532879772,f,0.4380519000114873,1,-0.16
23,0.10287081721411645,0.06995215570559918,f,0.520605700003216,1,-0.32
24,0.11055610578628862,0.11940059424919172,j,0.29067449999274686,1,0.08
25,0.13094522035188128,0.1623720732363328,j,0.460380400007125,1,0.24
26,0.19213648796682808,0.1306528118174431,f,0.2998587000183761,1,-0.32
27,0.1288959302967062,0.1701426279916522,j,0.3207432000199333,1,0.32
28,0.12769680030586886,0.12769680030586886,f,0.4124191000009887,0,0.0
29,0.1995312636815426,0.21549376477606602,j,0.37939750001532957,1,0.08
30,0.18492124971478913,0.19971494969197226,j,0.4253123000089545,1,0.08
31,0.12035748431842315,0.0914716880820016,f,0.4157198000175413,1,-0.24
32,0.15937354386883446,0.15937354386883446,j,0.4254580999840982,0,0.0
33,0.12239106467536807,0.09301720915327974,f,0.38005690000136383,1,-0.24
34,0.18981895124106057,0.17463343514177573,f,0.549565999945626,1,-0.08
35,0.17348955725920784,0.1873687218399445,j,0.44116550000035204,1,0.08
36,0.1541924276911929,0.20353400455237464,j,0.3626751000119839,1,0.32
