Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.12027493164891606,0.13951892071274263,f,0.6272145000002638,0,0.16
2,0.12054490431329877,0.09161412727810707,f,0.4012288999983866,1,-0.24
3,0.14778415705834627,0.12413869192901086,f,0.28379689999928814,1,-0.16
4,0.1678109493006732,0.20808557713283476,j,0.36238629999934346,1,0.24
5,0.10717127455626874,0.13289238044977322,f,0.30138479999732226,0,0.24
6,0.1299260888973748,0.1299260888973748,j,0.5841493000007176,0,0.0
7,0.15908775751150042,0.12090669570874032,f,0.31763349999891943,1,-0.24
8,0.14077777612806364,0.11825333194757345,f,0.21716890000243438,1,-0.16
9,0.13138344896367063,0.15240480079785793,j,0.3892262000008486,1,0.16
10,0.10343684983919241,0.07033705789065083,f,0.32100179999906686,1,-0.32
11,0.14609982970060603,0.14609982970060603,f,0.24384939999799826,0,0.0
12,0.1047213262018038,0.07958820791337089,f,0.2564542000000074,1,-0.24
13,0.19925348038619128,0.19925348038619128,f,0.2428044999978738,0,0.0
14,0.12328909837178813,0.10356284263230202,f,0.2635206000013568,1,-0.16
15,0.13905038603875483,0.15017441692185524,j,0.4786528000004182,1,0.08
16,0.11701878164368507,0.10765727911219027,f,0.3465733999978693,1,-0.08
17,0.17358466738920414,0.1596978939980678,f,0.33063519999952405,1,-0.08
18,0.12147419039372248,0.08260244946773128,f,0.3045146000004024,1,-0.32
19,0.17351489509801155,0.22903966152937524,j,0.5138800999993691,1,0.32
20,0.12512699097002902,0.13513715024763134,f,0.346769800002221,0,0.08
21,0.14601647004303014,0.1927417404567998,j,0.3504815999986022,1,0.32
22,0.11700580132883273,0.09828487311621949,f,0.3387976999983948,1,-0.16
23,0.16410792796558857,0.17723656220283568,f,0.29850230000010924,0,0.08
24,0.14967861685416506,0.16165290620249828,j,0.4486470999981975,1,0.08
25,0.17101180463603832,0.11628802715250605,f,0.3261368000021321,1,-0.32
26,0.12807504499010333,0.14856705218851984,j,0.3662718000014138,1,0.16
27,0.15759212327316244,0.15759212327316244,f,0.26622760000100243,0,0.0
28,0.13740232790376006,0.18137107283296328,j,0.467617500002234,1,0.32
29,0.19821198300240733,0.18235502436221476,f,0.41205029999720864,1,-0.08
30,0.16162422940995486,0.1874841061155476,j,0.388472599999659,1,0.16
31,0.10841910773186997,0.14311322220606837,j,0.5455160999990767,1,0.32
32,0.1389306768658694,0.17227403931367807,j,0.35495910000099684,1,0.24
33,0.12330778439256153,0.11344316164115661,f,0.39264540000251145,1,-0.08
34,0.18852125939502135,0.14327615714021621,f,0.2752631000003021,1,-0.24
35,0.19736061285106224,0.24472715993531718,j,0.2807232000013755,1,0.24
36,0.13502908350832918,0.09181977678566383,f,0.27338180000151624,1,-0.32
