Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.11279074022597023,0.13083725866212545,j,0.4705563000170514,1,0.16
2,0.14170683748663893,0.13037029048770782,f,0.3994482999946922,1,-0.08
3,0.1433616138084775,0.0974858973897647,f,0.4160812000045553,1,-0.32
4,0.18866165014474431,0.21884751416790338,j,0.30487160000484437,1,0.16
5,0.15333256116571536,0.11653274648594368,f,0.38939590007066727,1,-0.24
6,0.18174202239296633,0.15266329881009172,f,0.4006109000183642,1,-0.16
7,0.18209867570999325,0.1675307816531938,j,0.42654460003133863,0,-0.08
8,0.12589261500036797,0.12589261500036797,j,0.5395513999974355,0,0.0
9,0.1475443877165455,0.19475859178584004,j,0.4308644999982789,1,0.32
10,0.10660828584362454,0.09807962297613458,f,0.3800423999596387,1,-0.08
11,0.1153939282667133,0.09693089974403916,f,0.34148679999634624,1,-0.16
12,0.11432961819582699,0.10518324874016083,f,0.4018608999811113,1,-0.08
13,0.12698485258000403,0.14730242899280466,j,0.43864249996840954,1,0.16
14,0.14921045024753413,0.18502095830694232,j,0.33430079999379814,1,0.24
15,0.19054023889310012,0.25151311533889215,j,0.2988719999557361,1,0.32
16,0.1395183167083952,0.1395183167083952,j,0.5084942999528721,0,0.0
17,0.1589953939929042,0.17171502551233653,j,0.399749799980782,1,0.08
18,0.10164363805400439,0.06911767387672298,f,0.4006741000339389,1,-0.32
19,0.134252208894765,0.134252208894765,f,0.35772140009794384,0,0.0
20,0.1221246835922691,0.14166463296703216,f,0.3389362999005243,0,0.16
21,0.15632652312966425,0.1688326449800374,j,0.37372330005746335,1,0.08
22,0.11807481874036535,0.12752080423959458,j,0.5315925000468269,1,0.08
23,0.18918206623378883,0.1286438050389764,f,0.4139861000003293,1,-0.32
24,0.11574029765826177,0.12499952147092272,j,0.2875299999723211,1,0.08
25,0.13320492211653692,0.17583049719382873,j,0.31301259994506836,1,0.32
26,0.14693699156357348,0.1822018695388311,j,0.2873903999570757,1,0.24
27,0.10737720962695073,0.1331477399374189,j,0.20732749998569489,1,0.24
28,0.1474655038828929,0.12387102326163003,f,0.32769599999301136,1,-0.16
29,0.11672567451325087,0.1447398363964311,j,0.26505940000060946,1,0.24
30,0.19849397257297252,0.1508554191554591,f,0.34911519999150187,1,-0.24
31,0.17377107363430028,0.14596770185281221,f,0.3336976000573486,1,-0.16
32,0.16230326941565837,0.21424031562866905,j,0.27438429999165237,1,0.32
33,0.18346679052085926,0.18346679052085926,f,0.35917349997907877,0,0.0
34,0.1075261933339719,0.08171990693381864,f,0.3405600000405684,1,-0.24
35,0.17576566483342346,0.13358190527340183,f,0.3191432999446988,1,-0.24
36,0.11427332965226328,0.07770586416353902,f,0.31632940005511045,1,-0.32
