Trial, Size_Left, Size_Right, Response, Reaction_Time, Correct, Ratio_r
1, 0.19863321790242242, 0.23041453276681004, j, 0.4583820999832824, 1, 0.16
2, 0.1156035899616331, 0.12485187715856376, j, 0.8898687000619248, 1, 0.08
3, 0.17133156795848775, 0.18503809339516678, f, 0.29994940001051873, 0, 0.08
4, 0.11067861392172157, 0.12838719214919703, j, 0.3718390000285581, 1, 0.16
5, 0.17645699011724694, 0.14822387169848744, f, 0.4032371999928728, 1, -0.16
6, 0.1352476928711817, 0.16770713916026533, j, 0.39244649989996105, 1, 0.24
7, 0.1883850084087707, 0.17331420773606906, f, 0.3736397000029683, 1, -0.08
8, 0.11091294656074885, 0.08429383938616912, j, 0.6179176999721676, 0, -0.24
9, 0.127733211640899, 0.14817052550344287, j, 0.38205190002918243, 1, 0.16
10, 0.10799736425211247, 0.11663715339228148, j, 0.49242789996787906, 1, 0.08
11, 0.10792711737337712, 0.08202460920376661, f, 0.34107480000238866, 1, -0.24
12, 0.16541350363355437, 0.19187966421492308, j, 0.27913239994086325, 1, 0.16
13, 0.18069821766084274, 0.15178650283510792, f, 0.383128400077112, 1, -0.16
14, 0.14054988920290903, 0.10681791579421086, f, 0.5935860000317916, 1, -0.24
15, 0.17326889882976798, 0.15940738692338655, j, 0.26744299998972565, 0, -0.08
16, 0.1489339075430282, 0.13701919493958595, j, 0.39735900005325675, 0, -0.08
17, 0.12364552075769208, 0.12364552075769208, j, 0.3738906999351457, 0, 0.00
18, 0.12217872723863661, 0.16127591995500035, j, 0.41267850005533546, 1, 0.32
19, 0.13685881613115894, 0.13685881613115894, j, 0.7842060000402853, 0, 0.00
20, 0.1182585179305742, 0.08041579219279045, f, 0.4205929000163451, 1, -0.32
21, 0.1019055293900032, 0.12636285644360398, j, 0.32249439996667206, 1, 0.24
22, 0.17053326522582363, 0.2251039100980872, j, 0.4261186000658199, 1, 0.32
23, 0.10518098841923296, 0.0715230721250784, f, 0.3908760999329388, 1, -0.32
24, 0.14840875691653596, 0.14840875691653596, f, 0.6004064000444487, 0, 0.00
25, 0.17348397123470088, 0.18736268893347696, j, 0.4977581000421196, 1, 0.08
26, 0.15118594846566139, 0.13909107258840847, j, 0.5623571000760421, 0, -0.08
27, 0.1827079795757278, 0.1827079795757278, j, 0.314181900001131, 0, 0.00
28, 0.1837685906495232, 0.13966412889363763, f, 0.414018000010401, 1, -0.24
29, 0.14279992509441286, 0.188495901124625, j, 0.4211677999701351, 1, 0.32
30, 0.11064632467993112, 0.07523950078235316, f, 0.4051096000475809, 1, -0.32
31, 0.1535112337302159, 0.19035392982546773, j, 0.275285099982284, 1, 0.24
32, 0.1153141379945342, 0.15221466215278515, j, 0.4043450999306515, 1, 0.32
33, 0.1502845841047767, 0.12623905064801244, f, 0.664422000059858, 1, -0.16
34, 0.11692924398230958, 0.07951188590797051, f, 0.31329109997022897, 1, -0.32
35, 0.14980014313883178, 0.1857521774921514, j, 0.3368248000042513, 1, 0.24
36, 0.1667113031669381, 0.14003749466022802, f, 0.49297209992073476, 1, -0.16
