Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.12016833003948506,0.13939526284580267,j,0.4705711998976767,1,0.16
2,0.17453423085366437,0.21642244625854382,j,0.3113750000484288,1,0.24
3,0.15981343905547557,0.10867313855772338,f,0.302994400030002,1,-0.32
4,0.12003951974681853,0.13924584290630948,j,0.2619266000110656,1,0.16
5,0.16555730439224975,0.16555730439224975,j,0.32292470009997487,0,0.0
6,0.1548042154509478,0.1548042154509478,f,0.42056420003063977,0,0.0
7,0.1647377507853791,0.13837971065971844,f,0.38144490006379783,1,-0.16
8,0.19395892452015706,0.1784422105585445,f,0.444639399969019,1,-0.08
9,0.1384936617530454,0.1052551829323145,f,0.364951099967584,1,-0.24
10,0.15845632090582568,0.17113282657829174,j,0.6423566999146715,1,0.08
11,0.18769388086378597,0.1726783703946831,f,0.29573550002649426,1,-0.08
12,0.15401007994691715,0.10472685436390365,f,0.30090339994058013,1,-0.32
13,0.1196723110989645,0.14839366576271598,j,0.37222699995618314,1,0.24
14,0.1605898625869573,0.18628424060087045,j,0.3626261999597773,1,0.16
15,0.10735264447587922,0.09876443291780888,f,0.41180520001333207,1,-0.08
16,0.19389824865547126,0.19389824865547126,j,0.5014418000355363,0,0.0
17,0.17960440078834397,0.23707780904061404,j,0.3079789999173954,1,0.32
18,0.1537147454319195,0.10452602689370524,f,0.2902263000141829,1,-0.32
19,0.14295697940844448,0.13152042105576894,j,0.31029020002577454,0,-0.08
20,0.10471773540736645,0.08796289774218782,f,0.47416719992179424,1,-0.16
21,0.17327598816034367,0.21486222531882615,j,0.3649685999844223,1,0.24
22,0.10910057804611656,0.08291643931504858,f,0.4594855000032112,1,-0.24
23,0.12292506804876391,0.13275907349266503,j,0.5670288999099284,1,0.08
24,0.1668454126542815,0.20688831169130906,j,0.36689590010792017,1,0.24
25,0.14751487070877423,0.1593160603654762,j,0.35234580002725124,1,0.08
26,0.11257108790274159,0.11257108790274159,f,0.653454800019972,0,0.0
27,0.12085717752540359,0.15953147433353274,j,0.5964484999421984,1,0.32
28,0.1740286208350091,0.14618404150140765,f,0.32594110001809895,1,-0.16
29,0.11662813292386047,0.15394913545949582,j,0.2737582999980077,1,0.32
30,0.19672050563403268,0.1337699438311422,f,0.35603120003361255,1,-0.32
31,0.1559579851990402,0.16843462401496342,j,0.28994809999130666,1,0.08
32,0.19431726464990678,0.22540802699389184,j,0.34489369997754693,1,0.16
33,0.17741744322614644,0.13483725685187128,f,0.3336481999140233,1,-0.24
34,0.13634136597152274,0.10361943813835729,f,0.5525070000439882,1,-0.24
35,0.10382760660428741,0.08721518954760142,f,0.45597540005110204,1,-0.16
36,0.1474669822117392,0.19465641651949575,j,0.28566669998690486,1,0.32
