Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.10451912936880636,0.12960372041731988,j,0.41461249999701977,1,0.24
2,0.19690223960784747,0.16539788127059188,f,0.37320039999030996,1,-0.16
3,0.1442187165886435,0.12114372193446053,f,0.4424068999942392,1,-0.16
4,0.17363484248852318,0.15974405508944134,j,0.5195301999920048,0,-0.08
5,0.11275981522310001,0.139822170876644,j,0.36457350000273436,1,0.24
6,0.15050813785583803,0.1143861847704369,f,0.3556301000062376,1,-0.24
7,0.12514386999846822,0.16518990839797806,j,0.34764580000774004,1,0.32
8,0.19232061920388904,0.17693496966757793,f,0.39876739999454003,1,-0.08
9,0.1701954406491752,0.1701954406491752,j,0.48080489999847487,0,0.0
10,0.19581033688029076,0.2584696446819838,j,0.3249950000026729,1,0.32
11,0.19421403206629062,0.17867690950098739,f,0.3891135000012582,1,-0.08
12,0.18697573909167625,0.20193379821901036,j,0.3810546000022441,1,0.08
13,0.18120984793603778,0.2391969992755699,j,0.30982910000602715,1,0.32
14,0.18723462186353684,0.2022133916126198,j,0.5393917999899713,1,0.08
15,0.18584166105299624,0.20070899393723596,j,0.31357119999302085,1,0.08
16,0.19604238200886526,0.13330881976602837,f,0.39474460000928957,1,-0.32
17,0.10169647109981444,0.06915360034787382,f,0.5192960999993375,1,-0.32
18,0.17889087660146386,0.22182468698581517,j,0.3449241000053007,1,0.24
19,0.16345072928560309,0.16345072928560309,j,0.5201334000012139,0,0.0
20,0.14861062499015154,0.1723883249885758,j,0.42676079999364447,1,0.16
21,0.11441284278509067,0.11441284278509067,j,0.5391256000002613,0,0.0
22,0.1453190126527583,0.18019557568942027,j,0.2885212999972282,1,0.24
23,0.14699701224159056,0.11171772930360883,f,0.4026850999944145,1,-0.24
24,0.15439373066670994,0.10498773685336275,f,0.3415138999989722,1,-0.32
25,0.16734449398112278,0.16734449398112278,j,0.3537967000011122,0,0.0
26,0.11146414880439375,0.08471275309133924,f,0.3574992000067141,1,-0.24
27,0.16045793778210443,0.14762130275953608,j,0.36402179999276996,0,-0.08
28,0.1870009871130801,0.12716067123689445,f,0.2924693999957526,1,-0.32
29,0.10291330958775516,0.11937943912179598,j,0.3661205000098562,1,0.16
30,0.18852564040814093,0.1583615379428384,f,0.37283629999728873,1,-0.16
31,0.14752800040673153,0.17113248047180857,j,0.37232189999485854,1,0.16
32,0.1678205043727342,0.18124614472255296,j,0.436109000002034,1,0.08
33,0.19288826161235587,0.16202613975437893,f,0.3365483999950811,1,-0.16
34,0.18919567250232894,0.14378871110177,f,0.3466986999992514,1,-0.24
35,0.1102047267442164,0.14547023930236566,j,0.3275168999971356,1,0.32
36,0.16304788399005368,0.18913554542846225,j,0.35877080001228023,1,0.16
