Ratio_r,Mean_Reaction_Time,Accuracy,Probability_of_Choosing_Right
-0.32,0.37481332187506194,0.984375,0.015625
-0.24,0.37833301041958595,0.9739583333333334,0.026041666666666668
-0.16,0.3948834666643582,0.96875,0.03125
-0.08,0.4331586619777219,0.796875,0.18229166666666666
0.0,0.4304508180980823,0.06190476190476191,0.49523809523809526
0.08,0.4347663938762188,0.7806122448979592,0.6938775510204082
0.16,0.3919705482239898,0.9187817258883249,0.8223350253807107
0.24,0.3633191224516478,0.9591836734693877,0.8571428571428571
0.32,0.35690005381005036,0.9796954314720813,0.8781725888324873

Total Accuracy: 0.92
Total Mean Reaction Time: 0.40 seconds
