Ratio_r,Mean_Reaction_Time,Accuracy,Probability_of_Choosing_Right
-0.32,0.42618024998228066,1.0,0.0
-0.24,0.4311225166893564,1.0,0.0
-0.16,0.4053675249936835,0.9166666666666666,0.08333333333333333
-0.08,0.5472566916820748,0.8333333333333334,0.16666666666666666
0.0,0.45305754999086884,0.43333333333333335,0.3
0.08,0.47240550625429023,0.6875,0.6875
0.16,0.4135467823567417,1.0,0.9411764705882353
0.24,0.3623478937734035,0.9375,0.9375
0.32,0.3734406764988842,1.0,0.9411764705882353

Total Accuracy: 0.92
Total Mean Reaction Time: 0.43 seconds
