Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.05585168438881326,0.06925608864212844,j,0.43826620001345873,1,0.24
2,0.08775746121805356,0.08073686432060928,f,0.4963325000135228,1,-0.08
3,0.09551664851665215,0.07259265287265564,f,0.35617839999031276,1,-0.24
4,0.06405037962103317,0.05892634925135052,j,0.4491674000164494,0,-0.08
5,0.09249815741316372,0.06289874704095133,f,0.30129110001144,1,-0.32
6,0.09657599090008426,0.11202814944409772,j,0.42553269999916665,1,0.16
7,0.07775812927162389,0.06531682858816407,f,0.32782350000343286,1,-0.16
8,0.06879091486133093,0.05228109529461151,f,0.36676159998751245,1,-0.24
9,0.08196756491437115,0.08852497010752085,j,0.40822680000565015,1,0.08
10,0.0542724516909823,0.06295604396153946,j,0.4251828000124078,1,0.16
11,0.085267875062715,0.07844644505769781,f,0.4932564999908209,1,-0.08
12,0.0930639031174359,0.1153992398656205,j,0.3447948999819346,1,0.24
13,0.07010589464403734,0.047672008357945383,f,0.33878120000008494,1,-0.32
14,0.07918156585050147,0.053843464778340996,f,0.32357279999996535,1,-0.32
15,0.0835604224267161,0.07687558863257882,j,0.4725515000172891,0,-0.08
16,0.08957858069246433,0.0680797213262729,f,0.34761240001535043,1,-0.24
17,0.06058280903068323,0.05088955958577391,j,0.43242340002325363,0,-0.16
18,0.08446735381552106,0.05743780059455432,f,0.37727389999781735,1,-0.32
19,0.06948253907787637,0.05280672969918604,f,0.3753382000140846,1,-0.24
20,0.05240642238119158,0.044021394800200925,f,0.35477559998980723,1,-0.16
21,0.0975399601061268,0.0975399601061268,f,0.3376245999825187,0,0.0
22,0.07500425608845133,0.057003234627223016,f,0.30729530000826344,1,-0.24
23,0.05251327432865653,0.05671433627494906,f,0.3150259999965783,0,0.08
24,0.0856729489120969,0.07881911299912915,j,0.5701608000090346,0,-0.08
25,0.09784031804697049,0.08218586715945521,f,0.455559699999867,1,-0.16
26,0.08398360788684014,0.11085836241062899,j,0.4143700000131503,1,0.32
27,0.09978559040020253,0.06785420147213772,f,0.37734949999139644,1,-0.32
28,0.05782732290388143,0.05320113707157092,f,0.670672200008994,1,-0.08
29,0.07563607612356373,0.06353430394379353,f,0.40597859999979846,1,-0.16
30,0.08207088412528055,0.10833356704537032,j,0.4583615999727044,1,0.32
31,0.05618879105061378,0.05618879105061378,f,0.410249999986263,0,0.0
32,0.06747714133542532,0.04588445610808921,f,0.3345526999910362,1,-0.32
33,0.0637274249621085,0.05353103696817113,f,0.394877999991877,1,-0.16
34,0.09394960236705643,0.0714016977989629,f,0.35751249999157153,1,-0.24
