Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.07742252946329134,0.07122872710622803,f,0.7987421000143513,1,-0.08
2,0.08588414228190495,0.07901341089935256,f,0.5514145999914035,1,-0.08
3,0.06496789550229283,0.08056019042284311,j,0.49449720000848174,1,0.24
4,0.06229498717765075,0.04734419025501457,f,0.3658417999977246,1,-0.24
5,0.06883937543269732,0.05231792532884996,f,0.3684277999564074,1,-0.24
6,0.05827693833138675,0.07692555859743051,j,0.4606194000225514,1,0.32
7,0.09939966520650814,0.13120755807259074,j,0.3423612000187859,1,0.32
8,0.07081899249837609,0.04815691489889574,f,0.32288579997839406,1,-0.32
9,0.07620893782029863,0.06401550776905084,f,0.30413509998470545,1,-0.16
10,0.08656135542660798,0.0727115385583507,f,0.5161520999972709,1,-0.16
11,0.07905900144167305,0.09803316178767459,j,0.3955392999923788,1,0.24
12,0.05578206931679696,0.04239437268076569,f,0.441986599995289,1,-0.24
13,0.06933222930745905,0.06378565096286233,f,0.4545794000150636,1,-0.08
14,0.05676218061853846,0.04313925727008923,f,0.39685740001732484,1,-0.24
15,0.05781538113859658,0.05319015064750885,f,0.45584209996741265,1,-0.08
16,0.08053351482474795,0.06764815245278828,f,0.3703965999884531,1,-0.16
17,0.08437037706320558,0.07762074689814913,f,0.4230524000013247,1,-0.08
18,0.06031360074076825,0.06513868880002971,j,0.46099719998892397,1,0.08
19,0.0716318652455358,0.05444021758660721,f,0.4756649999762885,1,-0.24
20,0.0625803657609248,0.07259322428267276,j,0.41660580004099756,1,0.16
21,0.050027767536134256,0.03802110332746204,f,0.3575655000167899,1,-0.24
22,0.0659849241380202,0.05542733627593697,f,0.5426821999717504,1,-0.16
23,0.06208319182663702,0.06208319182663702,f,0.37500669999280944,0,0.0
24,0.09841154498244388,0.06691985058806184,f,0.2799068000167608,1,-0.32
25,0.06857656928201739,0.04663206711177182,f,0.38356270000804216,1,-0.32
26,0.07340011358590229,0.04991207723841355,f,0.3495505999890156,1,-0.32
27,0.09618551750953946,0.09618551750953946,f,0.23993549996521324,0,0.0
28,0.09028176720134404,0.10472684995355908,f,0.2750765000237152,0,0.16
29,0.05798764635022083,0.03943159951815016,f,0.36373869999079034,1,-0.32
30,0.056184800128792914,0.060679584139096354,j,0.35249410005053505,1,0.08
31,0.07935748874621441,0.07300888964651726,f,0.37266900000395253,1,-0.08
32,0.09204084592317517,0.06258777522775912,f,0.2839236999861896,1,-0.32
33,0.07419337162448011,0.06232243216456329,f,0.27233259996864945,1,-0.16
34,0.0944491138764256,0.0793372556561975,f,0.3335617000120692,1,-0.16
