Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.06304856801173335,0.07313633889361068,j,0.42594830016605556,1,0.16
2,0.0726280507568341,0.04938707451464718,f,0.3251986000686884,1,-0.32
3,0.05690686898661962,0.05235431946769005,j,0.3093000999651849,0,-0.08
4,0.06955113157837314,0.05842295052583344,f,0.33694380009546876,1,-0.16
5,0.0754387048095926,0.06336851204005778,f,0.32841499987989664,1,-0.16
6,0.08504339083499696,0.057829505767797926,f,0.29821690008975565,1,-0.32
7,0.061050527506208985,0.05616648530571227,f,0.34383009979501367,1,-0.08
8,0.05911612643880263,0.05438683632369842,f,0.35515099996700883,1,-0.08
9,0.09197927977619905,0.12141264930458275,j,0.3407435999251902,1,0.32
10,0.08092537387741804,0.06150328414683771,f,0.3231802999507636,1,-0.24
11,0.07340832523636373,0.05579032717963644,j,0.338254899950698,0,-0.24
12,0.09028415293785029,0.09028415293785029,j,0.4613207997754216,0,0.0
13,0.06841680086932134,0.07389014493886704,f,0.41500989999622107,0,0.08
14,0.09561761973018554,0.06501998141652617,f,0.3869845001026988,1,-0.32
15,0.09964806235515526,0.13153544230880496,j,0.39073120011016726,1,0.32
16,0.0771505941093896,0.058634451523136094,f,0.3392576000187546,1,-0.24
17,0.05945792975516777,0.045188026613927505,f,0.3843447999097407,1,-0.24
18,0.08529448290228658,0.10576515879883536,j,0.4028874000068754,1,0.24
19,0.0717478647753737,0.07748769395740361,j,0.48201930010691285,1,0.08
20,0.07367707732335278,0.06778291113748457,f,0.3418060000985861,1,-0.08
21,0.09484640562774063,0.07208326827708288,f,0.2809080998413265,1,-0.24
22,0.09036365273514066,0.07590546829751815,j,0.4200268001295626,0,-0.16
23,0.08023332068945203,0.07381465503429588,f,0.39770049997605383,1,-0.08
24,0.0691826946404005,0.05257884792670438,f,0.3698603000957519,1,-0.24
25,0.08742481785631492,0.1084067741418305,j,0.4123413001652807,1,0.24
26,0.05931627304253774,0.05931627304253774,f,0.45600289991125464,0,0.0
27,0.0629659870637469,0.0730405449939464,j,0.39136669994331896,1,0.16
28,0.05592177451415464,0.0469742905918899,f,0.3790303999558091,1,-0.16
29,0.07992575881815325,0.05434951599634421,f,0.3713825000450015,1,-0.32
30,0.061950663751557736,0.05699461065143312,j,0.4183760001324117,0,-0.08
31,0.0845113510921619,0.057467718742670086,f,0.3803292999509722,1,-0.32
32,0.09212030647721973,0.07738105744086457,f,0.432144699851051,1,-0.16
33,0.07989390154879215,0.0671108773009854,f,0.3297437001019716,1,-0.16
34,0.07883169214513529,0.05360555065869199,f,0.35578650003299117,1,-0.32
