Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.09832693196076558,0.07472846829018184,f,0.5259201000444591,1,-0.24
2,0.08058557272007345,0.061245035267255825,f,0.3614634000696242,1,-0.24
3,0.08042979205428384,0.07399540868994113,f,0.4307727999985218,1,-0.08
4,0.09577594606793316,0.06512764332619454,f,0.3719925000332296,1,-0.32
5,0.07022148151208633,0.07583920003305325,j,0.601314099971205,1,0.08
6,0.06250563628130354,0.07750698898881639,j,0.47807599999941885,1,0.24
7,0.09503619659755178,0.0646246136863352,f,0.40074339997954667,1,-0.32
8,0.05266662260175145,0.0653066120261718,j,0.4323667000280693,1,0.24
9,0.06279915296107445,0.05275128848730254,f,0.4020178000209853,1,-0.16
10,0.0637284646172896,0.04333535593975693,f,0.41694320004899055,1,-0.32
11,0.08960885429012778,0.10394627097654822,j,0.44011930003762245,1,0.16
12,0.053228274475427634,0.036195226643290786,f,0.36970339994877577,1,-0.32
13,0.08103497906615945,0.0745521807408667,f,0.4123505000025034,1,-0.08
14,0.07926894251016721,0.06658591170854046,f,0.5460322999861091,1,-0.16
15,0.0691495665449639,0.09127742783935236,j,0.3821540999924764,1,0.32
16,0.08140346957087319,0.06837891443953348,f,0.3805675999028608,1,-0.16
17,0.09299770761555495,0.10787734083404374,j,0.39950219995807856,1,0.16
18,0.0767531905004125,0.0583324247803135,f,0.38483680004719645,1,-0.24
19,0.09213565615931078,0.09213565615931078,j,0.4393302999669686,0,0.0
20,0.06820453411007868,0.0627481713812724,f,0.7818827000446618,1,-0.08
21,0.06536400589986265,0.07059312637185167,f,0.6154418999794871,0,0.08
22,0.0777274682262125,0.0590728758519215,f,0.43030210002325475,1,-0.24
23,0.05432255346913993,0.07170577057926471,j,0.4246374999638647,1,0.32
24,0.06597807422158826,0.0606998282838612,f,0.45040750002954155,1,-0.08
25,0.06339564643195887,0.06339564643195887,f,0.666320399963297,0,0.0
26,0.08829262022001134,0.06003898174960771,f,0.45701829995959997,1,-0.32
27,0.06330344507082435,0.05317489385949245,f,0.49935429997276515,1,-0.16
28,0.09599248954699865,0.08831309038323877,f,0.4280879999278113,1,-0.08
29,0.05725218269142443,0.04351165884548257,f,0.37424369994550943,1,-0.24
30,0.06240096912893939,0.05740889159862424,f,0.5040201999945566,1,-0.08
31,0.06256992557111446,0.04755314343404699,f,0.39922209992073476,1,-0.24
32,0.061648408658939086,0.05178466327350883,f,0.37838710006326437,1,-0.16
33,0.07492516935628722,0.06293714225928126,f,0.47606480005197227,1,-0.16
34,0.098562554140143,0.06702253681529724,f,0.2987678999779746,1,-0.32
