Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.05622926592286398,0.04723258337520574,f,0.5322580998763442,1,-0.16
2,0.07690906267815921,0.06460361264965374,f,0.5062657999806106,1,-0.16
3,0.0630835386095852,0.04794348934328475,f,0.3081819999497384,1,-0.24
4,0.09966596039623808,0.11561251405963617,j,0.3753553999122232,1,0.16
5,0.08464446490836726,0.11173069367904478,j,0.36046520015224814,1,0.32
6,0.0569837505758351,0.06154245062190191,f,0.300426899921149,0,0.08
7,0.0564295475929715,0.042886456170658345,f,0.28481949982233346,1,-0.24
8,0.05488755259474004,0.05049654838716084,f,0.2946059999521822,1,-0.08
9,0.09382692281652324,0.12385153811781069,j,0.34667119989171624,1,0.32
10,0.06202906056371327,0.047142086028422084,f,0.3162674999330193,1,-0.24
11,0.05271729081268036,0.03584775775262264,f,0.3234586000908166,1,-0.32
12,0.07209541890864439,0.05479251837056974,f,0.34219380002468824,1,-0.24
13,0.08454937088832759,0.05749357220406276,f,0.31038439995609224,1,-0.32
14,0.08659357674181531,0.07273860446312486,f,0.4028863999992609,1,-0.16
15,0.09813644531711693,0.121689192193225,j,0.314678099937737,1,0.24
16,0.08134831921890703,0.10087191583144473,j,0.34882119996473193,1,0.24
17,0.08903295411484537,0.08191031778565774,f,0.44356709998100996,1,-0.08
18,0.05757942461980585,0.039154008741467974,f,0.31241049990057945,1,-0.32
19,0.053253840543914424,0.04473322605688811,f,0.4717706998344511,1,-0.16
20,0.0747213798745373,0.08667680065446326,j,0.38248719996772707,1,0.16
21,0.05586821644621235,0.05586821644621235,j,0.46424690005369484,0,0.0
22,0.08672991360937424,0.0797915205206243,f,0.32174629997462034,1,-0.08
23,0.08777474322152927,0.059686825390639894,f,0.3372136999387294,1,-0.32
24,0.07021156695890905,0.07021156695890905,j,0.3894476001150906,0,0.0
25,0.058423744827455,0.0537498452412586,f,0.30507070012390614,1,-0.08
26,0.0601276842978147,0.05050725481016435,f,0.32885609986260533,1,-0.16
27,0.06427576365677438,0.04370751928660658,f,0.36545129981823266,1,-0.32
28,0.08854944323577417,0.0743815323180503,f,0.4529194999486208,1,-0.16
29,0.06737446573417633,0.051204593957974005,f,0.35946710011921823,1,-0.24
30,0.05828279129873659,0.03963229808314088,f,0.36012579989619553,1,-0.32
31,0.07232575464991871,0.06653969427792522,f,0.30566069995984435,1,-0.08
32,0.05455093986475187,0.05891501505393202,j,0.45825809985399246,1,0.08
33,0.0536092357325105,0.040743019156707985,f,0.3619621000252664,1,-0.24
34,0.05859753803487078,0.05390973499208112,j,0.5502708000130951,0,-0.08
