Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.09918630531645728,0.0912514008911407,f,0.38660080009140074,1,-0.08
2,0.0522713167358873,0.06481643275250025,j,0.39825590001419187,1,0.24
3,0.07307364515106612,0.06722775353898083,f,0.3258712000679225,1,-0.08
4,0.05497684986236359,0.04178240589539633,f,0.30242149997502565,1,-0.24
5,0.05990561921365296,0.04552827060237625,f,0.2925962000153959,1,-0.24
6,0.08208550823222285,0.08208550823222285,f,0.3822524999268353,0,0.0
7,0.09762388291334265,0.09762388291334265,j,0.6553374000359327,0,0.0
8,0.06861896774756035,0.09057703742677967,f,0.34655690006911755,0,0.32
9,0.06437587219943605,0.05922580242348117,f,0.394447400001809,1,-0.08
10,0.06349668226394282,0.0584169476828274,f,0.38356109987944365,1,-0.08
11,0.07410448217124235,0.05039104787644479,f,0.3224680998828262,1,-0.32
12,0.06991839884862502,0.05313798312495502,f,0.3641860999632627,1,-0.24
13,0.0709886037494716,0.06530951544951387,f,0.33527979999780655,1,-0.08
14,0.05447903759630267,0.06755400661941531,j,0.4891617000102997,1,0.24
15,0.0713850123280184,0.04854180838305251,f,0.36483770003542304,1,-0.32
16,0.09114470026250815,0.07656154822050684,f,0.46312319999560714,1,-0.16
17,0.05423791690605263,0.03688178349611579,f,0.39812399982474744,1,-0.32
18,0.05070261620778334,0.05881503480102867,j,0.37812360003590584,1,0.16
19,0.0809735791246309,0.1068851244445128,j,0.3032684999052435,1,0.32
20,0.06446735318642927,0.05415257667660058,f,0.3463618999812752,1,-0.16
21,0.09083892018724092,0.10537314741719946,j,0.30883420002646744,1,0.16
22,0.06805119756982383,0.05716300595865202,f,0.30390230007469654,1,-0.16
23,0.08659273278720508,0.0935201514101815,f,0.36731300014071167,0,0.08
24,0.0584415143879009,0.049090872085836755,f,0.3344507999718189,1,-0.16
25,0.09205143457821549,0.077323205045701,f,0.36815700004808605,1,-0.16
26,0.09919147982774677,0.0674502062828678,f,0.3581598000600934,1,-0.32
27,0.05932536139943577,0.04034124575161632,f,0.6253913999535143,1,-0.32
28,0.059524388672554274,0.054762437578749934,f,0.33038290007971227,1,-0.08
29,0.07920508537947546,0.06653227171875939,f,0.41865219990722835,1,-0.16
30,0.09876834065615094,0.07506393889867471,f,0.39837740012444556,1,-0.24
31,0.07192938753996508,0.04891198352717625,f,0.3723470999393612,1,-0.32
32,0.08303398270307528,0.06310582685433722,f,0.3762918000575155,1,-0.24
33,0.0961428281914853,0.07306854942552883,f,0.3229536998551339,1,-0.24
34,0.09982838373905079,0.10781465443817485,j,0.5196436999831349,1,0.08
