Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.08598001335309918,0.07910161228485126,f,0.41751890000887215,1,-0.08
2,0.07617344185543648,0.06398569115856664,f,0.3113498000311665,1,-0.16
3,0.09919655357661175,0.07538938071822493,f,0.31272309995256364,1,-0.24
4,0.05166433604203231,0.04753118915866973,j,0.46637689997442067,0,-0.08
5,0.07526899677186008,0.0812905165136089,f,0.38561170001048595,0,0.08
6,0.09781119147584634,0.0665116102035755,f,0.3352529000258073,1,-0.32
7,0.07259394694757304,0.0667864311917672,f,0.322764000040479,1,-0.08
8,0.07434327607635263,0.05055342773191979,f,0.3579583000391722,1,-0.32
9,0.05822825297161293,0.044253472258425824,f,0.499581300013233,1,-0.24
10,0.08298165529056863,0.10953578498355059,j,0.4190641999593936,1,0.32
11,0.05799343966299755,0.05799343966299755,f,0.4081037999712862,0,0.0
12,0.080424966726384,0.06755697205016255,f,0.313725300016813,1,-0.16
13,0.05182705725667078,0.039388563515069794,j,0.461937099986244,0,-0.24
14,0.09197426898118291,0.06254250290720437,f,0.38121600000886247,1,-0.32
15,0.09013349988613226,0.06850145991346052,f,0.3230328999925405,1,-0.24
16,0.057395779497939135,0.07117076657744453,j,0.38720589998411015,1,0.24
17,0.06606479671825695,0.0607796129807964,f,0.4049995999666862,1,-0.08
18,0.052740660003311575,0.04430215440278172,f,0.5748280999832787,1,-0.16
19,0.08102714551111856,0.055098458947560616,f,0.44415709999157116,1,-0.32
20,0.08173624467600935,0.10789184297233234,j,0.47196579998126253,1,0.32
21,0.07580309102442354,0.06367459646051576,f,0.37699969997629523,1,-0.16
22,0.08949457548412303,0.08233500944539318,f,0.535338599991519,1,-0.08
23,0.07486799469055277,0.06288911554006432,f,0.40616790001513436,1,-0.16
24,0.07733869857680714,0.09589998623524086,j,0.392629100009799,1,0.24
25,0.07640548423967466,0.05806816802215275,f,0.3346952000283636,1,-0.24
26,0.0954920342306736,0.06493458327685804,f,0.3251560000353493,1,-0.32
27,0.08106634535361663,0.09403696061019529,j,0.37936069996794686,1,0.16
28,0.08191277537570665,0.07535975334565012,f,0.36335960001451895,1,-0.08
29,0.05003364574955196,0.03402287910969533,f,0.42014219996053725,1,-0.32
30,0.08495936929940709,0.09175611884335966,j,0.4464622000232339,1,0.08
31,0.08273997879786416,0.08273997879786416,f,0.5871897000470199,0,0.0
32,0.0557545782912326,0.042373479501336776,j,0.5171680000494234,0,-0.24
33,0.09735371494992628,0.11293030934191448,j,0.45735689997673035,1,0.16
34,0.061283377044218795,0.05147803671714379,f,0.3972576000378467,1,-0.16
