Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.07751954192232685,0.058914851860968405,f,0.37248499994166195,1,-0.24
2,0.09482567560653557,0.08723962155801272,f,0.4783650999888778,1,-0.08
3,0.0710943303708834,0.08246942323022474,j,0.5365834000986069,1,0.16
4,0.057197392332109964,0.05262160094554117,f,0.22872989997267723,1,-0.08
5,0.07847925989331161,0.05336589672745189,f,0.30128690018318594,1,-0.32
6,0.055486512864498794,0.04660867080617898,f,0.6183102000504732,1,-0.16
7,0.08769390352876544,0.08067839124646421,f,0.31577249988913536,1,-0.08
8,0.0905985489741714,0.10509431681003881,f,0.3051893000956625,0,0.16
9,0.06125904098403954,0.041656147869146884,f,0.3719874999951571,1,-0.32
10,0.07458037702675877,0.09247966751318087,j,0.41322389990091324,1,0.24
11,0.07038221663206139,0.06475163930149648,f,0.26870969985611737,1,-0.08
12,0.08948427833406111,0.07516679380061134,f,0.3096992999780923,1,-0.16
13,0.05478903667845206,0.0372565449413474,f,0.3384505999274552,1,-0.32
14,0.08594667967734469,0.09282241405153227,j,0.40567100001499057,1,0.08
15,0.052769996600982444,0.048548396872903854,f,0.47733900020830333,1,-0.08
16,0.06161130150957307,0.08132691799263646,j,0.46689909999258816,1,0.32
17,0.09706009866749796,0.0660008670938986,f,0.3085541999898851,1,-0.32
18,0.09257906736647038,0.07776641658783512,f,0.31484770006500185,1,-0.16
19,0.09879679881412771,0.09879679881412771,j,0.3543132001068443,0,0.0
20,0.05826441723175302,0.048942110474672534,f,0.3239637000951916,1,-0.16
21,0.08540344761340536,0.11273255084969508,f,0.246508700074628,0,0.32
22,0.051638277383960526,0.05576933957467737,j,0.7884692000225186,1,0.08
23,0.08322814565031002,0.0699116423462604,f,0.36505489982664585,1,-0.16
24,0.08854031210788058,0.06729063720198923,f,0.28152760001830757,1,-0.24
25,0.05450115729733235,0.04142087954597259,f,0.39265970000997186,1,-0.24
26,0.09111559281082347,0.06924785053622584,f,0.37404890009202063,1,-0.24
27,0.07324729725520941,0.07324729725520941,f,0.3966661999002099,0,0.0
28,0.09082349209130519,0.06902585398939194,f,0.414519099984318,1,-0.24
29,0.08032077650126344,0.054618128020859136,f,0.45256999996490777,1,-0.32
30,0.055583167177377185,0.0689231272999477,j,0.5163108999840915,1,0.24
31,0.0712827885663815,0.05987754239576046,f,0.3243686999194324,1,-0.16
32,0.058715132714818104,0.03992629024607631,f,0.3619110998697579,1,-0.32
33,0.08390728404569796,0.06376953587473044,f,0.3278334999922663,1,-0.24
34,0.09128613336379159,0.08398324269468826,f,0.5992698001209646,1,-0.08
