Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.08835702320171185,0.08128846134557491,f,0.45328450000306475,1,-0.08
2,0.09507901563057929,0.0798663731296866,f,0.34328349999850616,1,-0.16
3,0.05398354889567008,0.03670881324905565,f,0.36186390000148094,1,-0.32
4,0.06654105601879437,0.05589448705578727,f,0.38607950000005076,1,-0.16
5,0.052798711272189214,0.04435091746863894,f,0.4266710999982024,1,-0.16
6,0.06727310025545129,0.04574570817370687,f,0.3259631000000809,1,-0.32
7,0.0698567193266248,0.05309110668823484,f,0.3571142000000691,1,-0.24
8,0.05317021378580555,0.04040936247721222,f,0.4412430000011227,1,-0.24
9,0.07436255004805059,0.09220956205958274,j,0.3346486999980698,1,0.24
10,0.07457057300304902,0.0686049271628051,f,0.30152669999733916,1,-0.08
11,0.05710778131772701,0.04340191380147253,f,0.31014929999946617,1,-0.24
12,0.051614262174244946,0.03509769827848656,f,0.3196705000009388,1,-0.32
13,0.08777625740871277,0.06670995563062171,f,0.23575930000151857,1,-0.24
14,0.05537998771428044,0.03765839164571069,f,0.30537810000168975,1,-0.32
15,0.09561902744406194,0.08796950524853699,f,0.3501179000013508,1,-0.08
16,0.09817929550762669,0.12959667007006723,f,0.228726800000004,0,0.32
17,0.08262585580120703,0.09584599272940014,j,0.3345837999986543,1,0.16
18,0.08807179911273456,0.07398031125469703,f,0.2711245999998937,1,-0.16
19,0.07060738679609357,0.053661613965031114,f,0.4052274999994552,1,-0.24
20,0.06506326039870297,0.08588350372628793,j,0.33695609999995213,1,0.32
21,0.07074022309459321,0.07639944094216068,f,0.3503342999974848,0,0.08
22,0.05331844299494917,0.05758391843454511,j,0.32131920000028913,1,0.08
23,0.052364196197839455,0.06493160328532092,j,0.28162859999793,1,0.24
24,0.05175748721273236,0.03933569028167659,f,0.40737019999869517,1,-0.24
25,0.05349604020777627,0.04493667377453207,f,0.30751020000025164,1,-0.16
26,0.07088855607813635,0.06521747159188544,f,0.38755610000225715,1,-0.08
27,0.09186997563488518,0.08452037758409436,f,0.27075999999942724,1,-0.08
28,0.06155610601707168,0.05663161753570595,f,0.3290868000003684,1,-0.08
29,0.097904306111246,0.06657492815564726,f,0.28770649999933084,1,-0.32
30,0.0851488297511776,0.07152501699098918,f,0.31792439999844646,1,-0.16
31,0.0742096695075809,0.08608321662879384,j,0.3883196999995562,1,0.16
32,0.09348969997070891,0.09348969997070891,f,0.37873469999976805,0,0.0
33,0.053991779924902256,0.053991779924902256,j,0.31004570000004605,0,0.0
34,0.0781755412767798,0.053159368068210255,f,0.3361585999991803,1,-0.32
