Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.08141239612424464,0.08792538781418421,j,0.4024055000045337,1,0.08
2,0.06488888048080557,0.0804622117961989,j,0.3340093999868259,1,0.24
3,0.0796372860823288,0.0668953203091562,f,0.4787394999875687,1,-0.16
4,0.09774474804747679,0.11338390773507308,j,0.37163670000154525,1,0.16
5,0.05502921117541301,0.06823622185751213,j,0.40104320002137683,1,0.24
6,0.09641737475591336,0.12727093467780565,j,0.3666390999860596,1,0.32
7,0.050295206425307167,0.050295206425307167,j,0.313369400013471,0,0.0
8,0.06545123583742386,0.07068733470441778,j,0.4266887999838218,1,0.08
9,0.08617792962845203,0.0723894608878997,f,0.34384670000872575,1,-0.16
10,0.05777651274667013,0.06239863376640375,j,0.330375899997307,1,0.08
11,0.06715958972243431,0.06715958972243431,j,0.42546080000465736,0,0.0
12,0.0923633560925061,0.12191963004210805,j,0.43891419999999925,1,0.32
13,0.06392806610162427,0.06904231138975421,j,0.4647421999834478,1,0.08
14,0.06823580996008857,0.06277694516328149,j,0.4980697999999393,0,-0.08
15,0.054541460051227335,0.06763141046352189,j,0.36779389998991974,1,0.24
16,0.0560364440161549,0.06500227505873968,j,0.33849509997526184,1,0.16
17,0.0552951950989416,0.04202434827519562,f,0.43521229998441413,1,-0.24
18,0.08053788567887377,0.09342394738749356,j,0.3297426000062842,1,0.16
19,0.06764079838849113,0.0892858538728083,j,0.3621720000228379,1,0.32
20,0.07830804949184418,0.09083733741053925,j,0.32983219999005087,1,0.16
21,0.08414090237344593,0.11106599113294863,j,0.3122299000096973,1,0.32
22,0.08088159680089624,0.10029318003311133,j,0.4094473000150174,1,0.24
23,0.0935274120624506,0.0635986402024664,f,0.417691200011177,1,-0.32
24,0.05056846007484087,0.05865941368681541,j,0.38772239998797886,1,0.16
25,0.05875877425495904,0.04465666843376887,f,0.4526262000144925,1,-0.24
26,0.08295689577848872,0.10950310242760512,j,0.33033990001422353,1,0.32
27,0.0670515775601592,0.08314395617459741,j,0.3524807000067085,1,0.24
28,0.09261631253924345,0.10002561754238293,j,0.48553869998431765,1,0.08
29,0.05941838342450187,0.05466491275054172,j,0.6815685000037774,0,-0.08
30,0.0979567607089051,0.12146638327904233,j,0.30006090001552366,1,0.24
31,0.09223045458343467,0.1069873273167842,j,0.3365336999995634,1,0.16
32,0.08404899818986244,0.11094467761061844,j,0.3704278999939561,1,0.32
33,0.069395441803221,0.0749470771474787,j,0.3802577000169549,1,0.08
34,0.07138285855574167,0.04854034381790433,f,0.42343130000517704,1,-0.32
