Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.08985454549775405,0.061101090938472755,f,0.4027796001173556,1,-0.32
2,0.05586926635266051,0.06033880766087336,j,0.39981139986775815,1,0.08
3,0.06740640996559928,0.08897646115459105,j,0.4698568999301642,1,0.32
4,0.06651339673808969,0.0877976836942784,j,0.3599145000334829,1,0.32
5,0.07870486024810054,0.06611208260840445,f,0.5313839002046734,1,-0.16
6,0.09864994561069329,0.06708196301527143,f,0.5956941000185907,1,-0.32
7,0.08349745470650574,0.06345806557694436,f,0.3632443000096828,1,-0.24
8,0.07480366833488011,0.09874084220204175,j,0.33038510009646416,1,0.32
9,0.051199213045338254,0.055295150088965316,f,0.32696809992194176,0,0.08
10,0.053102493681222954,0.05735069317572079,j,0.27969100000336766,1,0.08
11,0.0545372230324406,0.0632631787176311,j,0.28665399993769825,1,0.16
12,0.09158140843996312,0.10623443379035721,j,0.2966737998649478,1,0.16
13,0.08321752854333471,0.10318973539373504,j,0.376315200002864,1,0.24
14,0.06536771748139006,0.08628538707543489,j,0.26224750000983477,1,0.32
15,0.07841694982729747,0.08469030581348128,j,0.30958619993180037,1,0.08
16,0.06707170885968766,0.07243744556846268,f,0.3871551000047475,0,0.08
17,0.07760250667134003,0.09622710827246163,j,0.2764396001584828,1,0.24
18,0.06281884988287417,0.04774232591098437,f,0.382501499960199,1,-0.24
19,0.09692006433987083,0.11242727463425015,j,0.28906580014154315,1,0.16
20,0.06227119311735237,0.07223458401612874,j,0.33865399984642863,1,0.16
21,0.06900996290603476,0.0800515569710003,j,0.3033102999906987,1,0.16
22,0.05323245363259357,0.06174964621380853,j,0.5440934000071138,1,0.16
23,0.07596748529117443,0.0941996817610563,j,0.3147966000251472,1,0.24
24,0.057098241789895844,0.07080181981947084,j,0.42044040001928806,1,0.24
25,0.06103711569979799,0.051271177187830315,f,0.4724302999675274,1,-0.16
26,0.0607127123242549,0.07528376328207607,j,0.28884349996224046,1,0.24
27,0.0979756655321895,0.09013761228961435,j,0.31040080008096993,0,-0.08
28,0.070051274445142,0.09246768226758745,j,0.27455179998651147,1,0.32
29,0.08367395316622714,0.10375570192612166,j,0.2617166000418365,1,0.24
30,0.07669011876002724,0.10123095676323596,j,0.31125680007971823,1,0.32
31,0.08968193442863728,0.08968193442863728,j,0.24671209999360144,0,0.0
32,0.05818390254774352,0.05818390254774352,f,0.3631002998445183,0,0.0
33,0.05248083389226645,0.05667930060364777,j,0.38668809994123876,1,0.08
34,0.07702142463442314,0.07085971066366929,j,0.4798838999122381,0,-0.08
