Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.06580972861342974,0.07633928519157848,j,0.3466666000895202,1,0.16
2,0.05521507452697824,0.04638066260266172,f,0.44926609995309263,1,-0.16
3,0.08423498582002209,0.09771258355122561,j,0.3573195000644773,1,0.16
4,0.05467247711201443,0.07216766978785905,j,0.42479169997386634,1,0.32
5,0.06113387924108118,0.07580601025894065,j,0.38873020000755787,1,0.24
6,0.0814142267577629,0.09444050303900496,j,0.34719030000269413,1,0.16
7,0.051420550713561775,0.05553419477064672,j,0.495840199990198,1,0.08
8,0.06376376169321919,0.07396596356413426,j,0.33993729995563626,1,0.16
9,0.06333356991777722,0.08360031229146593,j,0.37820800009649247,1,0.32
10,0.08206452974244957,0.07549936736305361,f,0.44643160002306104,1,-0.08
11,0.09392833006235712,0.07889979725237999,f,0.3970848999451846,1,-0.16
12,0.06560943982997337,0.04461441908438189,f,0.41457500006072223,1,-0.32
13,0.0738862873217569,0.0738862873217569,j,0.3670251000439748,0,0.0
14,0.08927681900888494,0.060708236926041756,f,0.3682777000358328,1,-0.32
15,0.062088224405774495,0.07698939826316037,j,0.4064774999860674,1,0.24
16,0.057973268143425655,0.07652471394932187,j,0.3862217999994755,1,0.32
17,0.06953708151223668,0.05284818194929988,f,0.39884250005707145,1,-0.24
18,0.08127955709283469,0.08778192166026147,j,0.38874789990950376,1,0.08
19,0.08602398638846268,0.0929059052995397,f,0.5476460000500083,0,0.08
20,0.09050762592761064,0.11222945615023719,j,0.36237950006034225,1,0.24
21,0.09007866058793232,0.11169753912903607,j,0.34630239999387413,1,0.24
22,0.09962115875064502,0.10759085145069663,j,0.3192109999945387,1,0.08
23,0.09767908114868135,0.11330773413247035,j,0.40768970001954585,1,0.16
24,0.06448392994027176,0.08511878752115873,j,0.47009780001826584,1,0.32
25,0.07325509572245967,0.09083631869584999,j,0.3529683999950066,1,0.24
26,0.09017428702141292,0.11903005886826507,j,0.3191948999883607,1,0.32
27,0.07408453318933582,0.08593805849962954,j,0.5047438000328839,1,0.16
28,0.08421467671544308,0.10442619912714943,j,0.3273228000616655,1,0.24
29,0.061093435204225735,0.04643101075521156,f,0.5193956000730395,1,-0.24
30,0.05191092202782003,0.05606379579004563,j,0.679730899981223,1,0.08
31,0.08693963042818609,0.08693963042818609,j,0.4923103000037372,0,0.0
32,0.07592594836113976,0.08200002423003096,j,0.3911994999507442,1,0.08
33,0.09589174423116302,0.1265771023851352,j,0.34572189999744296,1,0.32
34,0.08394693912943908,0.07723118399908396,f,0.4181925000157207,1,-0.08
