Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.08946901852360684,0.08231149704171829,j,0.6555965000297874,0,-0.08
2,0.06725085813329114,0.07801099543461772,j,0.308958999812603,1,0.16
3,0.091735451378869,0.10641312359948804,j,0.22580130002461374,1,0.16
4,0.09869890952246989,0.13028256056966026,j,0.21785159991122782,1,0.32
5,0.08094266851054925,0.0874180819913932,j,0.30561969988048077,1,0.08
6,0.07047588868887278,0.05919974649865313,f,0.4720694001298398,1,-0.16
7,0.08820307568074155,0.06703433751736358,f,0.3911116002127528,1,-0.24
8,0.05810190907907342,0.048805603626421674,j,0.38275440013967454,0,-0.16
9,0.07123563909009684,0.07693449021730459,j,0.29926740005612373,1,0.08
10,0.06356822755445642,0.07882460216752596,j,0.2612179999705404,1,0.24
11,0.056840558716806766,0.052293314019462224,j,0.2592817998956889,0,-0.08
12,0.08591856318573216,0.11341250340516645,j,0.25555890006944537,1,0.32
13,0.08995032231646011,0.10434237388709372,j,0.21471329987980425,1,0.16
14,0.06417490489678164,0.06417490489678164,j,0.33757809991948307,0,0.0
15,0.061491418850207376,0.07624935937425714,j,0.2785602000076324,1,0.24
16,0.059454290371887125,0.04042891745288324,f,0.5738792000338435,1,-0.32
17,0.09974336097535527,0.07580495434127,j,0.28134489990770817,0,-0.24
18,0.07434632708544835,0.09813715175279182,j,0.25287989992648363,1,0.32
19,0.08601460844408368,0.09289577711961038,j,0.2928603000473231,1,0.08
20,0.08682975472259974,0.09377613510040772,j,0.265785199822858,1,0.08
21,0.08678683502819062,0.10761567543495637,j,0.2942143001127988,1,0.24
22,0.07205780053455224,0.09511629670560896,j,0.2786373000126332,1,0.32
23,0.05104599309779565,0.05921335199344295,j,0.4187961998395622,1,0.16
24,0.0666362381429029,0.07729803624576735,j,0.3065247999038547,1,0.16
25,0.08032961053167458,0.08675597937420855,j,0.31884819990955293,1,0.08
26,0.09290516072058494,0.12263481215117213,j,0.31549419998191297,1,0.32
27,0.05042521300807027,0.06252726413000713,j,0.37803170015104115,1,0.24
28,0.09489549363527444,0.12526205159856227,j,0.35383319994434714,1,0.32
29,0.06516590930485186,0.07559245479362815,j,0.5081008998677135,1,0.16
30,0.07257061029340398,0.049348014999514696,f,0.594897500006482,1,-0.32
31,0.0955126889674242,0.10315370408481814,j,0.3382264000829309,1,0.08
32,0.06125773944572928,0.0759595969127043,j,0.3215055998880416,1,0.24
33,0.05090011239814294,0.05090011239814294,j,0.23231879994273186,0,0.0
34,0.06804011711529187,0.08436974522296192,j,0.24705740017816424,1,0.24
