Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.0763698922296439,0.07026030085127238,j,0.417994000017643,0,-0.08
2,0.0848781192825736,0.09845861836778537,j,0.26763819996267557,1,0.16
3,0.08485640570403047,0.11201045552932022,j,0.25320479995571077,1,0.32
4,0.07150346818424215,0.08866430054846026,j,0.25230580009520054,1,0.24
5,0.07008636755970021,0.08130018636925224,j,0.4691043999046087,1,0.16
6,0.07962457774387624,0.07962457774387624,f,0.44655220001004636,0,0.0
7,0.08677234388253555,0.10065591890374123,j,0.32022740016691387,1,0.16
8,0.08407364806935422,0.11097721545154757,j,0.2522614998742938,1,0.32
9,0.09924497301614144,0.10718457085743276,j,0.2865681000985205,1,0.08
10,0.057982951114477266,0.07653749547111,j,0.3100147000513971,1,0.32
11,0.06257613078124294,0.06758222124374239,j,0.5701836000662297,1,0.08
12,0.07656680221820802,0.09494283475057795,j,0.27732099988497794,1,0.24
13,0.09200641833440404,0.07728539140089939,f,0.43418690003454685,1,-0.16
14,0.08137983648376623,0.06184867572766234,f,0.3269346999004483,1,-0.24
15,0.06952994434306727,0.06396754879562189,j,0.5750866001471877,0,-0.08
16,0.06189406111653254,0.06684558600585515,j,0.32380440016277134,1,0.08
17,0.07966570387433544,0.09878547280417595,j,0.2665371000766754,1,0.24
18,0.05490514491055237,0.05929755650339657,j,0.4820381000172347,1,0.08
19,0.08164531237691422,0.06205043740645481,f,0.39960749982856214,1,-0.24
20,0.051296977689329164,0.0677120105499145,j,0.4835271001793444,1,0.32
21,0.06875087538854946,0.09075115551288529,j,0.27943810005672276,1,0.32
22,0.06078112323631446,0.07536859281302993,j,0.2605973999015987,1,0.24
23,0.05603468166513438,0.060517456198345136,j,0.40124549996107817,1,0.08
24,0.06828127779153056,0.04643126889824078,f,0.3118874999228865,1,-0.32
25,0.09322056382090953,0.10813585403225505,j,0.3576892998535186,1,0.16
26,0.09610465837444668,0.11916977638431388,j,0.2502898999955505,1,0.24
27,0.0709688345528943,0.08800135484558892,j,0.29618969978764653,1,0.24
28,0.09231583491414878,0.09231583491414878,j,0.36498989979736507,0,0.0
29,0.05546091916349598,0.037713425031177264,f,0.3110338999889791,1,-0.32
30,0.058137750052698854,0.06278877005691477,j,0.3729107999242842,1,0.08
31,0.0750192250685724,0.09902537709051558,j,0.23987479996867478,1,0.32
32,0.09557601648181632,0.08028385384472571,j,0.2849737999495119,0,-0.16
33,0.09481960387638617,0.10999074049660795,j,0.2858476999681443,1,0.16
34,0.09989242909140335,0.11587521774602788,j,0.32777420012280345,1,0.16
