Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.06392640291459925,0.07415462738093513,j,0.3313239000272006,1,0.16
2,0.09431937942276748,0.10186492977658888,j,0.3127301000058651,1,0.08
3,0.06842094853993157,0.0738946244231261,j,0.3516663999762386,1,0.08
4,0.05304498053510015,0.04455778364948412,f,0.34611969999969006,1,-0.16
5,0.05489392523337162,0.06367695327071107,j,0.3809076999896206,1,0.16
6,0.05580689460092278,0.042413239896701316,f,0.36185300000943244,1,-0.24
7,0.07273281800556405,0.055276941684228684,f,0.30495020002126694,1,-0.24
8,0.09597480022297128,0.11900875227648439,j,0.3699600999825634,1,0.24
9,0.05535476109972909,0.06421152287568574,j,0.3761147999903187,1,0.16
10,0.08122041599826753,0.05522988287882191,f,0.356908600020688,1,-0.32
11,0.0546021963122178,0.05023402060724038,j,0.3868040000088513,0,-0.08
12,0.09025069403390883,0.11191086060204694,j,0.3477839999832213,1,0.24
13,0.05921924411539646,0.06395678364462819,j,0.3552706000045873,1,0.08
14,0.07727421551247375,0.06491034103047795,f,0.39800399995874614,1,-0.16
15,0.07903035363237458,0.09799763850414447,j,0.28987070004222915,1,0.24
16,0.087466291366944,0.087466291366944,j,0.40582719998201355,0,0.0
17,0.061577664170563345,0.07635630357149854,j,0.32624780002515763,1,0.24
18,0.06708974091852993,0.06708974091852993,j,0.3916586000123061,0,0.0
19,0.08974677911514327,0.08256703678593182,f,0.3673784999991767,1,-0.08
20,0.08794880040815407,0.09498470444080641,f,0.336040599970147,0,0.08
21,0.06874607862918035,0.046747333467842635,f,0.4462123999837786,1,-0.32
22,0.06930730327480716,0.07485188753679174,j,0.3176601000013761,1,0.08
23,0.07617492754511859,0.10055090435955655,j,0.3011111000087112,1,0.32
24,0.052132872533259184,0.06047413213858065,f,0.3971151000005193,0,0.16
25,0.0580372980820677,0.07196624962176394,j,0.3734740000218153,1,0.24
26,0.06269676040788541,0.06771250124051625,j,0.5736066999961622,1,0.08
27,0.053017835918721584,0.0699835434127125,j,0.3047903000260703,1,0.32
28,0.07010614553770246,0.09254011210976726,j,0.3495639999746345,1,0.32
29,0.09096133954842978,0.10551515387617853,j,0.3243489000014961,1,0.16
30,0.05638825737907469,0.06541037855972665,j,0.4268857999704778,1,0.16
31,0.05848214678455109,0.07719643375560745,j,0.3407069999957457,1,0.32
32,0.07015366894892848,0.0926028430125856,j,0.31385639996733516,1,0.32
33,0.08463501854984033,0.11171822448578925,j,0.34764649998396635,1,0.32
34,0.05734320811253701,0.07110557805954588,j,0.5982071000034921,1,0.24
