Ratio_r,Mean_Reaction_Time,Accuracy,Probability_of_Choosing_Right
-0.32,0.3500773405534043,0.9944444444444445,0.005555555555555556
-0.24,0.3536822883350598,0.9777777777777777,0.022222222222222223
-0.16,0.3759129791631494,0.95,0.05
-0.08,0.39412590999795105,0.8388888888888889,0.16111111111111112
0.0,0.4086666891592055,0.0,0.39166666666666666
0.08,0.41893734250740333,0.6583333333333333,0.6583333333333333
0.16,0.3982444916668404,0.8,0.8
0.24,0.3901136891605347,0.875,0.875
0.32,0.387574667499454,0.9083333333333333,0.9083333333333333

Total Accuracy: 0.91
Total Mean Reaction Time: 0.38 seconds
