Ratio_r,Mean_Reaction_Time,Accuracy,Probability_of_Choosing_Right
-0.32,0.39149071750593667,0.9,0.1
-0.24,0.37073613750598694,0.85,0.15
-0.16,0.4144733916703141,0.8083333333333333,0.19166666666666668
-0.08,0.3977291691631156,0.525,0.475
0.0,0.40029040166236884,0.0,0.6083333333333333
0.08,0.3776447802727792,0.8638888888888889,0.8638888888888889
0.16,0.3487806169365285,0.9416666666666667,0.9416666666666667
0.24,0.34027858778080267,0.9861111111111112,0.9861111111111112
0.32,0.3292713450002843,0.9972222222222222,0.9972222222222222

Total Accuracy: 0.90
Total Mean Reaction Time: 0.36 seconds
