Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.1379275469633235,0.1268933432062576,f,0.359089400008088,1,-0.08
2,0.1753031933469748,0.23140021521800674,j,0.2710984000004828,1,0.32
3,0.12104552235235158,0.13072916414053973,f,0.33896439999807626,0,0.08
4,0.1279640208833539,0.16891250756602716,j,0.24436299999069888,1,0.32
5,0.1581873037996757,0.13287733519172756,f,0.27237890000105835,1,-0.16
6,0.12236968685178037,0.1027905369554955,f,0.2754465000034543,1,-0.16
7,0.15648965550823968,0.1439704830675805,f,0.47288750000006985,1,-0.08
8,0.14799227255294653,0.10063474533600363,f,0.2587716999987606,1,-0.32
9,0.10742073100575576,0.09023341404483484,f,0.2839518999971915,1,-0.16
10,0.1660825218991837,0.2192289289069225,j,0.31522879999829456,1,0.32
11,0.19694254653612098,0.19694254653612098,f,0.2589466000063112,0,0.0
12,0.10838868614032701,0.10838868614032701,f,0.2731725000048755,0,0.0
13,0.11462987991453959,0.14214105109402908,j,0.2864737000054447,1,0.24
14,0.188385203554655,0.14317275470153779,f,0.2648248000041349,1,-0.24
15,0.1263563065750419,0.09603079299703185,j,0.31196549999003764,0,-0.24
16,0.18077920765634622,0.16631687104383852,f,0.26833640001132153,1,-0.08
17,0.10192312479625183,0.10192312479625183,f,0.31288969999877736,0,0.0
18,0.1326972805293951,0.14331306297174673,j,0.29409510000550654,1,0.08
19,0.1844128756061517,0.16965984555765956,f,0.2003792000032263,1,-0.08
20,0.1740936651404528,0.20194865156292524,j,0.2862189000006765,1,0.16
21,0.1568382219335879,0.194479395197649,j,0.29585680000309367,1,0.24
22,0.12322357050783904,0.1527972274297204,j,0.3118231999978889,1,0.24
23,0.12553723274679648,0.08536531826782161,j,0.15403340000193566,0,-0.32
24,0.14417077696115926,0.155704439118052,j,0.2908279999974184,1,0.08
25,0.16763730538880459,0.1944592742510133,j,0.27165680000325665,1,0.16
26,0.16518282855142835,0.11232432341497127,f,0.23033080001187045,1,-0.32
27,0.14536096790274244,0.16861872276718123,j,0.29160210001282394,1,0.16
28,0.19594698129932625,0.19594698129932625,f,0.23141069999837782,0,0.0
29,0.13527481093071583,0.11363084118180129,f,0.26236140000401065,1,-0.16
30,0.15590013414319084,0.18084415560610137,j,0.31343809999816585,1,0.16
31,0.18739617295946362,0.247362948306492,j,0.24538849999953527,1,0.32
32,0.1689398172041771,0.11487907569884043,f,0.2792212000058498,1,-0.32
33,0.11718407933730512,0.0890599002963519,f,0.17478460000711493,1,-0.24
34,0.10394517731863445,0.11226079150412521,f,0.23797870000998955,0,0.08
35,0.1782532882740794,0.22103407745985845,j,0.27885170000081416,1,0.24
36,0.1264451717483993,0.09609833052878347,j,0.24552029999904335,0,-0.24
