Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.13558688234660465,0.1247399317588763,j,0.3868399001657963,0,-0.08
2,0.13918164045740836,0.1614507029305937,j,0.3382034001406282,1,0.16
3,0.14602939918991992,0.1810764549955007,j,0.28896110015921295,1,0.24
4,0.19781286457437286,0.18198783540842303,j,0.24065109994262457,0,-0.08
5,0.1426113199445883,0.1426113199445883,j,0.3298107001464814,0,0.0
6,0.13139681315322055,0.08934983294418997,f,0.24243250000290573,1,-0.32
7,0.13289282155328522,0.16478709872607367,j,0.23045340017415583,1,0.24
8,0.1399036646083248,0.10632678510232685,f,0.25414959993213415,1,-0.24
9,0.1236987550232953,0.15338645622888616,j,0.23173779994249344,1,0.24
10,0.18534244331774014,0.1408602569214825,j,0.26816999982111156,0,-0.24
11,0.1781611113760363,0.1496553335558705,f,0.32973259990103543,1,-0.16
12,0.1889353084334196,0.1284760097347253,f,0.2662205998785794,1,-0.32
13,0.19622568445837651,0.259017903485057,j,0.29026290006004274,1,0.32
14,0.1582295420147813,0.10759608857005126,f,0.26776470011100173,1,-0.32
15,0.12873441502917302,0.13903316823150685,j,0.32919670012779534,1,0.08
16,0.1832391902815338,0.13926178461396568,f,0.3058640998788178,1,-0.24
17,0.1740170497002258,0.1740170497002258,j,0.2934585998300463,0,0.0
18,0.19393050475707482,0.22495938551820677,j,0.2765150999184698,1,0.16
19,0.11776377436235774,0.08007936656640326,f,0.27776680001989007,1,-0.32
20,0.1938367276364233,0.16282285121459555,j,0.2711164001375437,0,-0.16
21,0.1906819234586632,0.16017281570527708,f,0.3479063999839127,1,-0.16
22,0.1259928743120175,0.1562311641469017,j,0.326161399949342,1,0.24
23,0.14947306783500597,0.14947306783500597,f,0.28351150010712445,0,0.0
24,0.13435364701422384,0.17734681405877548,j,0.2860719000454992,1,0.32
25,0.1133906219562132,0.12246187171271027,f,0.27998040011152625,0,0.08
26,0.11467293473040216,0.15136827384413085,j,0.28012610017322004,1,0.32
27,0.15292116492491092,0.20185593770088242,j,0.22120209992863238,1,0.32
28,0.10477023933216667,0.12153347762531333,j,0.3495691998396069,1,0.16
29,0.1333465326029456,0.1120110873864743,f,0.33494250010699034,1,-0.16
30,0.155949479750983,0.18090139651114026,j,0.2901922999881208,1,0.16
31,0.10726932269383184,0.09868777687832529,f,0.44167840015143156,1,-0.08
32,0.12620563946476668,0.12620563946476668,j,0.2645316000562161,0,0.0
33,0.19899083547891455,0.15123303496397505,f,0.30208890000358224,1,-0.24
34,0.15159585544373794,0.16372352387923697,j,0.25348749989643693,1,0.08
35,0.1486182123158601,0.13672875533059128,f,0.27244480000808835,1,-0.08
36,0.11146818544004418,0.12038564027524772,j,0.3218545999843627,1,0.08
