Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.14363036167972107,0.16661121954847644,j,0.3644010997377336,1,0.16
2,0.19744450359540325,0.18164894330777098,f,0.27997659984976053,1,-0.08
3,0.1885500093253647,0.1885500093253647,j,0.1994310999289155,0,0.0
4,0.12360088189266702,0.08404859968701356,f,0.27704070042818785,1,-0.32
5,0.10240654800478324,0.11059907184516592,j,0.42249339958652854,1,0.08
6,0.12448319219413512,0.11452453681860432,j,0.23359390022233129,0,-0.08
7,0.17455404593874352,0.1326610749134451,f,0.2777611999772489,1,-0.24
8,0.16328878838205577,0.21554120066431362,j,0.27541489992290735,1,0.32
9,0.13808234123498248,0.16017551583257966,j,0.29741459991782904,1,0.16
10,0.10727600309105667,0.0901118425964876,f,0.25476919999346137,1,-0.16
11,0.10872598641703941,0.0739336707635868,f,0.2820287002250552,1,-0.32
12,0.15197415287647809,0.16413208510659635,j,0.23142530024051666,1,0.08
13,0.11082101936201094,0.11082101936201094,f,0.3040482997894287,0,0.0
14,0.10895845090687534,0.08280842268922525,f,0.4782293997704983,1,-0.24
15,0.16036298355452056,0.17319202223888222,j,0.2532251002267003,1,0.08
16,0.16043995966282404,0.1989455499819018,j,0.29431769996881485,1,0.24
17,0.13425843052340153,0.15573977940714576,j,0.2371879001148045,1,0.16
18,0.11725202202506069,0.14539250731107525,j,0.2838766002096236,1,0.24
19,0.10160638185886474,0.12599191350499228,j,0.33175709983333945,1,0.24
20,0.18430742864619754,0.19905202293789334,j,0.24668540013954043,1,0.08
21,0.17414908406368984,0.14628523061349946,f,0.36018839990720153,1,-0.16
22,0.16173015515100092,0.14879174273892085,j,0.2567954999394715,0,-0.08
23,0.1728735206123154,0.1728735206123154,j,0.3554786997847259,0,0.0
24,0.19066170627038104,0.16015583326712007,f,0.3829739997163415,1,-0.16
25,0.16804870569093178,0.12771701632510815,f,0.28530879970639944,1,-0.24
26,0.12001562828058807,0.08161062723079988,f,0.27543050004169345,1,-0.32
27,0.12744221839222952,0.08666070850671606,f,0.2855819999240339,1,-0.32
28,0.18245870006270376,0.13866861204765485,f,0.23329339968040586,1,-0.24
29,0.14451009855649194,0.17919252221005,j,0.29889560025185347,1,0.24
30,0.16737120174967307,0.22092998630956848,j,0.21981250029057264,1,0.32
31,0.12509142693177022,0.14510605524085346,j,0.316807699855417,1,0.16
32,0.10725251503393446,0.09009211262850494,f,0.2777097001671791,1,-0.16
33,0.15874275265114418,0.20954043349951032,j,0.27165080001577735,1,0.32
34,0.10029128039672965,0.10029128039672965,j,0.1984451999887824,0,0.0
35,0.14070858508776907,0.18573533231585518,j,0.2951426999643445,1,0.32
36,0.13392680834745646,0.12321266367965995,f,0.26711140014231205,1,-0.08
