Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.12692447600571424,0.10661655984479997,f,0.4131881999783218,1,-0.16
2,0.1387261554093759,0.1054318781111257,f,0.27786049991846085,1,-0.24
3,0.13922358777663862,0.09467203968811426,f,0.29148219991475344,1,-0.32
4,0.16864498748065967,0.16864498748065967,f,0.2562942998483777,0,0.0
5,0.18136628429825555,0.195875587042116,f,0.32808850007131696,0,0.08
6,0.11628310255720324,0.11628310255720324,j,0.39756610011681914,0,0.0
7,0.17963895683690106,0.23712342302470943,j,0.35517279990017414,1,0.32
8,0.16530436711554547,0.15208001774630184,f,0.3475999999791384,1,-0.08
9,0.10140326360368733,0.07706648033880237,f,0.34505890030413866,1,-0.24
10,0.1872942549783202,0.15732717418178896,f,0.3409819002263248,1,-0.16
11,0.14008552168268495,0.14008552168268495,j,0.29811110021546483,0,0.0
12,0.11233136098813458,0.10334485210908381,j,0.3601679001003504,0,-0.08
13,0.19060948168253217,0.1753607231479296,f,0.35878430027514696,1,-0.08
14,0.10983406936553669,0.1361942460132655,j,0.3360256999731064,1,0.24
15,0.15966651610148647,0.21075980125396215,j,0.34625780023634434,1,0.32
16,0.14326841923119615,0.17765283984668323,j,0.36679999995976686,1,0.24
17,0.19102280480872358,0.2063046291934215,j,0.42307329969480634,1,0.08
18,0.12046210548429706,0.12046210548429706,f,0.3760265000164509,0,0.0
19,0.14437572038615673,0.1674758356479418,j,0.3342133997939527,1,0.16
20,0.14687765415775536,0.11162701715989408,f,0.3559486996382475,1,-0.24
21,0.1583891072563838,0.1457179786758731,j,0.379967600107193,0,-0.08
22,0.19407280965267049,0.13196951056381592,f,0.34937610011547804,1,-0.32
23,0.16639777456239224,0.20633324045736637,j,0.2966105998493731,1,0.24
24,0.17485074643980658,0.14687462700943751,f,0.3723071003332734,1,-0.16
25,0.17005015857622585,0.19725818394842198,j,0.348772999830544,1,0.16
26,0.13264421357760914,0.09019806523277421,f,0.3355241999961436,1,-0.32
27,0.19681696908508994,0.2283076841387043,j,0.3136407001875341,1,0.16
28,0.1259216820400403,0.16621662029285322,j,0.36441560043022037,1,0.32
29,0.13758359646379453,0.09355684559538027,f,0.3651717999018729,1,-0.32
30,0.10845369253938998,0.09110110173308758,f,0.4121121997013688,1,-0.16
31,0.1367622141685396,0.18052612270247226,j,0.3207905003800988,1,0.32
32,0.1760094627756198,0.20417097681971894,j,0.32390099996700883,1,0.16
33,0.19185510986402843,0.2072035186531507,j,0.3220701003447175,1,0.08
34,0.13176875634902457,0.16339325787279046,j,0.31993559980764985,1,0.24
35,0.10141835802984907,0.109531826672237,j,0.40021790005266666,1,0.08
36,0.166895297273841,0.12684042592811917,f,0.3189043002203107,1,-0.24
