Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.1477992257328126,0.15962316379143762,f,0.5120456999866292,0,0.08
2,0.14383972445697443,0.14383972445697443,j,0.361620599986054,0,0.0
3,0.11913341942502124,0.10007207231701784,f,0.31154130000504665,1,-0.16
4,0.1000828544480263,0.0920762260921842,j,0.37401450000470504,0,-0.08
5,0.18079335589219425,0.1952568243635698,j,0.31466720000025816,1,0.08
6,0.13901405607278222,0.1501351805586048,j,0.3481266000017058,1,0.08
7,0.1119607191113459,0.09404700405353056,f,0.3998790000041481,1,-0.16
8,0.15025881085700155,0.18632092546268192,j,0.40219479997176677,1,0.24
9,0.17607669613675414,0.20424896751863478,j,0.3857923000177834,1,0.16
10,0.17546020549331826,0.21757065481171464,j,0.2756394000025466,1,0.24
11,0.18409545841026212,0.24300600510154602,j,0.2698624999902677,1,0.32
12,0.10823404007393223,0.09091659366210307,j,0.40748329999041744,0,-0.16
13,0.13029373012909218,0.13029373012909218,j,0.2705595000006724,0,0.0
14,0.17671932294691442,0.20499441461842072,j,0.29446499998448417,1,0.16
15,0.14596756330038638,0.11093534810829364,j,0.34424499998567626,0,-0.24
16,0.11461472033212916,0.08710718745241816,f,0.36044119999860413,1,-0.24
17,0.14731109071608955,0.11195642894422807,f,0.3939546000037808,1,-0.24
18,0.10188801497342706,0.12634113856704957,f,0.32374379999237135,0,0.24
19,0.1838552522437037,0.22798051278219258,j,0.2915072000178043,1,0.24
20,0.16326524415555727,0.2155101222853356,j,0.3528937000082806,1,0.32
21,0.1301695923443555,0.1093424575692586,f,0.28727030000300147,1,-0.16
22,0.14475326171200267,0.1679137835859231,j,0.2825042000040412,1,0.16
23,0.15455774867107616,0.15455774867107616,j,0.31263580001541413,0,0.0
24,0.14479227406079215,0.1332088921359288,f,0.36792950000381097,1,-0.08
25,0.12404292713642978,0.08434919045277224,f,0.3583171999780461,1,-0.32
26,0.11478413181436196,0.10560140126921301,j,0.3538690999848768,0,-0.08
27,0.1145097064287216,0.07786660037153069,f,0.3099133000068832,1,-0.32
28,0.13338604449799446,0.1227151609381549,j,0.3578144000202883,0,-0.08
29,0.17092372829007196,0.19827152481648347,f,0.2794302999973297,0,0.16
30,0.16550041796151888,0.16550041796151888,j,0.2612496000074316,0,0.0
31,0.1855483163740757,0.12617285513437146,f,0.3106046000029892,1,-0.32
32,0.1621602612284218,0.2140515448215168,j,0.3525423000101,1,0.32
33,0.16708986721456887,0.2205586247232309,j,0.3260747000167612,1,0.32
34,0.19365246528100027,0.20914466250348032,f,0.23022430000128224,0,0.08
35,0.11523519578032665,0.07835993313062212,f,0.3250060999998823,1,-0.32
36,0.17288979872673668,0.1313962470323199,f,0.3475169000157621,1,-0.24
