Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.18090242540026621,0.12301364927218102,f,0.4208559999970021,1,-0.32
2,0.16624948581179053,0.11304965035201754,f,0.34559040000021923,1,-0.32
3,0.13991197898667643,0.11752606234880819,j,0.37526610000350047,0,-0.16
4,0.13770395156048867,0.15973658381016684,f,0.4704166999872541,0,0.16
5,0.15148753064447407,0.18784453799914785,j,0.37075430000550114,1,0.24
6,0.11274642717400456,0.12176614134792493,j,0.40864890000375453,1,0.08
7,0.19350762279069733,0.22446884243720888,j,0.37884019999182783,1,0.16
8,0.14665266230645133,0.13492044932193523,j,0.33532779999950435,0,-0.08
9,0.12116725452840739,0.15024739561522515,f,0.45837760000722483,0,0.24
10,0.1884256123710779,0.15827751439170543,f,0.31612119999772403,1,-0.16
11,0.17945466456342113,0.2225237840586422,j,0.3608673999988241,1,0.24
12,0.16219840417321174,0.1881501488409256,f,0.4553470999962883,0,0.16
13,0.176905616927296,0.176905616927296,j,0.4684385000000475,0,0.0
14,0.10897411839160835,0.13512790680559436,f,0.4760645000060322,0,0.24
15,0.18444093576392004,0.16968566090280646,j,0.4736888000043109,0,-0.08
16,0.1275675012792735,0.11736210117693162,j,0.4216634000040358,0,-0.08
17,0.19221023219313826,0.19221023219313826,f,0.4106238999956986,0,0.0
18,0.1166819121515017,0.13535101809574196,j,0.450535600000876,1,0.16
19,0.1199753300063347,0.09118125080481437,f,0.37636100000236183,1,-0.24
20,0.1588653596406467,0.13344690209814322,f,0.25774279999313876,1,-0.16
21,0.10299632762587402,0.13595515246615372,j,0.42566059999808203,1,0.32
22,0.16812616930073138,0.15467607575667286,f,0.2991431999980705,1,-0.08
23,0.11511670303614031,0.07827935806457541,j,0.32955150000634603,0,-0.32
24,0.13031316866227352,0.09903800818332788,f,0.48914150000200607,1,-0.24
25,0.1660922818793974,0.21924181208080457,j,0.3927676000021165,1,0.32
26,0.1593714102086038,0.17212112302529212,f,0.2855373999918811,0,0.08
27,0.15751862055978227,0.17012011020456486,f,0.31487319999723695,0,0.08
28,0.16911744036010146,0.16911744036010146,j,0.3837749999947846,0,0.0
29,0.15926953474175967,0.15926953474175967,j,0.4244831999967573,0,0.0
30,0.14238049599599556,0.10820917695695663,f,0.31167769999592565,1,-0.24
31,0.193812765205857,0.14729770155645133,f,0.312291100010043,1,-0.24
32,0.17441999553880358,0.18837359518190788,f,0.38442079999367706,0,0.08
33,0.12836972080139314,0.16944803145783896,j,0.31457030000456143,1,0.32
34,0.10891851870899363,0.1437724446958716,f,0.3644977000076324,0,0.32
35,0.1610677719833486,0.13529692846601282,f,0.34198560001095757,1,-0.16
36,0.18026970214679042,0.12258339745981747,f,0.3518515000032494,1,-0.32
