Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.18031047116457607,0.19473530885774218,f,0.6531832999899052,0,0.08
2,0.10581133009429228,0.08041661087166213,f,0.3455578999710269,1,-0.24
3,0.14826209040216748,0.14826209040216748,j,0.3877148000174202,0,0.0
4,0.14319042308992913,0.1317351892427348,j,0.34696019999682903,0,-0.08
5,0.18815325094853455,0.158048730796769,f,0.2887363000190817,1,-0.16
6,0.15131751034299354,0.13921210951555407,j,0.39018280000891536,0,-0.08
7,0.1694831672485385,0.15592451386865544,j,0.3379815999651328,0,-0.08
8,0.13413044977262306,0.15559132173624274,j,0.4329151000129059,1,0.16
9,0.13130531696168832,0.09979204089088312,f,0.3695333999930881,1,-0.24
10,0.18339565810724606,0.18339565810724606,j,0.31114980002166703,0,0.0
11,0.17086284800573714,0.12985576448436023,f,0.2243859000154771,1,-0.24
12,0.11332821791326289,0.07706318818101876,f,0.26944030000595376,1,-0.32
13,0.1020399148083476,0.08571352843901199,f,0.40113180002663285,1,-0.16
14,0.14429046536035678,0.19046341427567096,j,0.32550569996237755,1,0.32
15,0.11118594477208042,0.13787057151737972,j,0.41388159996131435,1,0.24
16,0.16985509610006605,0.16985509610006605,j,0.3146740000229329,0,0.0
17,0.165491414833698,0.20520935439378551,j,0.3750894999830052,1,0.24
18,0.13322061794231665,0.11190531907154598,f,0.32462390000000596,1,-0.16
19,0.12694994647670432,0.13710594219484068,j,0.34783250000327826,1,0.08
20,0.1483115735053253,0.1364466476248993,j,0.311502400028985,0,-0.08
21,0.11043197841887256,0.14577021151291178,j,0.4448273999732919,1,0.32
22,0.1250746482075573,0.13508062006416188,f,0.4103503000224009,0,0.08
23,0.14752922695122783,0.10031987432683491,f,0.3426035000011325,1,-0.32
24,0.18481886022597027,0.22917538668020312,j,0.317867900012061,1,0.24
25,0.10156567677885209,0.06906466020961942,f,0.334735999989789,1,-0.32
26,0.10211025621579356,0.1347855382048475,j,0.3249797999742441,1,0.32
27,0.17358810205386566,0.14581400572524714,f,0.30106859997613356,1,-0.16
28,0.189013381184023,0.21925552217346667,j,0.38111730001401156,1,0.16
29,0.17037092055354958,0.19763026784211749,j,0.38675200002035126,1,0.16
30,0.14176756965713566,0.09640194736685224,f,0.40047400002367795,1,-0.32
31,0.16811661764759192,0.1815659470593993,f,0.5085063999867998,0,0.08
32,0.19244088520043465,0.23862669764853897,j,0.4658924000104889,1,0.24
33,0.13925084008620398,0.1615309744999966,f,0.5203320999862626,0,0.16
34,0.17322732906986205,0.17322732906986205,j,0.334502000012435,0,0.0
35,0.13095584795547457,0.09952644444616068,f,0.4294149999623187,1,-0.24
36,0.11981622039440692,0.15815741092061714,j,0.340956800035201,1,0.32
