Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.10991355352983348,0.12749972209460683,j,0.44979010010138154,1,0.16
2,0.15891717409960365,0.19705729588350854,j,0.5419872999191284,1,0.24
3,0.17704090569826814,0.17704090569826814,f,0.9906011000275612,0,0.0
4,0.1982390834833454,0.26167559019801595,j,0.45940269995480776,1,0.32
5,0.15006826419344188,0.11405188078701584,f,0.6906297001987696,1,-0.24
6,0.1703468985219426,0.11583589099492096,f,0.6336361002177,1,-0.32
7,0.10221549253806529,0.11856997134415573,j,0.4553697002120316,1,0.16
8,0.17353764954934106,0.1457716256214465,f,0.5192199000157416,1,-0.16
9,0.10388313644355635,0.1371257401054944,j,0.7612801999785006,1,0.32
10,0.1572854910042492,0.1195369731632294,f,0.9759198999963701,1,-0.24
11,0.19402157155333064,0.19402157155333064,j,0.5194270997308195,0,0.0
12,0.19088340341496857,0.19088340341496857,f,1.2847246997989714,0,0.0
13,0.1895702919917902,0.2502327854291631,j,0.5988500001840293,1,0.32
14,0.18376068015021102,0.13965811691416039,f,0.595040800049901,1,-0.24
15,0.15327638046799288,0.16553849090543232,f,0.7350721000693738,0,0.08
16,0.16616094093645045,0.1794538162113665,j,0.47894199984148145,1,0.08
17,0.11389737654615469,0.1412327469172318,j,0.5029330002143979,1,0.24
18,0.16292726014295772,0.1498930793315211,f,0.38109829975292087,1,-0.08
19,0.11826165480170145,0.09933979003342921,f,0.47304860036820173,1,-0.16
20,0.11388854702176414,0.10477746326002302,f,0.4015449001453817,1,-0.08
21,0.18988494812925583,0.12912176472789394,f,0.5309305996634066,1,-0.32
22,0.14284502616995245,0.13141742407635626,j,0.47719800006598234,0,-0.08
23,0.14654547697241826,0.09965092434124441,f,0.32711159996688366,1,-0.32
24,0.10032286408338102,0.11637452233672198,j,0.4322695001028478,1,0.16
25,0.1786076723448174,0.164319058557232,f,0.40781599981710315,1,-0.08
26,0.10664521565786614,0.1407716846683833,j,0.3894779998809099,1,0.32
27,0.1046503627164612,0.07116224664719362,f,0.3691115998663008,1,-0.32
28,0.18296213947638174,0.22687305295071336,j,0.44959190022200346,1,0.24
29,0.16422694217226125,0.16422694217226125,f,0.3429049998521805,0,0.0
30,0.11892346753978345,0.12843734494296613,j,0.36443830002099276,1,0.08
31,0.15325454753335424,0.19003563894135925,j,0.3509160000830889,1,0.24
32,0.15135483952171203,0.1271380651982381,f,0.3309117001481354,1,-0.16
33,0.11833393629219627,0.13726736609894766,j,0.2901829998008907,1,0.16
34,0.1524469583027176,0.164642714966935,j,0.3786814999766648,1,0.08
35,0.18392275787897341,0.15449511661833767,f,0.6142912996001542,1,-0.16
36,0.18036995104670972,0.1370811627954994,j,0.3556849998421967,0,-0.24
