Ratio_r,Mean_Reaction_Time,Accuracy,Probability_of_Choosing_Right
-0.32,0.3690434916667679,0.9166666666666666,0.08333333333333333
-0.24,0.35054162500212743,0.8333333333333334,0.16666666666666666
-0.16,0.36255403334022657,0.8333333333333334,0.16666666666666666
-0.08,0.35505450833685853,0.4166666666666667,0.5833333333333334
0.0,0.38506941666613176,0.0,0.5833333333333334
0.08,0.34739126667166903,0.75,0.75
0.16,0.355090149998432,0.9166666666666666,0.9166666666666666
0.24,0.32490859166622005,0.6666666666666666,0.6666666666666666
0.32,0.3385446583367108,1.0,1.0

Total Accuracy: 0.79
Total Mean Reaction Time: 0.35 seconds
