Ratio_r,Mean_Reaction_Time,Accuracy,Probability_of_Choosing_Right
-0.32,0.3754946982532369,0.9476744186046512,0.05232558139534884
-0.24,0.3982751465005412,0.8837209302325582,0.11627906976744186
-0.16,0.40021403371792985,0.8662790697674418,0.13372093023255813
-0.08,0.40414801104956033,0.6337209302325582,0.36627906976744184
0.0,0.42311286512555196,0.0,0.38372093023255816
0.08,0.39726000349934154,0.5406976744186046,0.5406976744186046
0.16,0.39725943488096965,0.7441860465116279,0.7441860465116279
0.24,0.4144461476659439,0.7558139534883721,0.7558139534883721
0.32,0.3890289226870072,0.8488372093023255,0.8488372093023255

Total Accuracy: 0.78
Total Mean Reaction Time: 0.40 seconds
