Ratio_r,Mean_Reaction_Time,Accuracy,Probability_of_Choosing_Right
-0.32,0.31483225832926104,1.0,0.0
-0.24,0.33696641666756477,1.0,0.0
-0.16,0.33840878332800156,0.8333333333333334,0.16666666666666666
-0.08,0.3770614333334379,0.8333333333333334,0.16666666666666666
0.0,0.3417541333352953,0.0,0.6666666666666666
0.08,0.32950745833174244,1.0,1.0
0.16,0.32995957499224454,1.0,1.0
0.24,0.2976847750032902,1.0,1.0
0.32,0.32090455833288917,1.0,1.0

Total Accuracy: 0.96
Total Mean Reaction Time: 0.33 seconds
