Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.12194845617502222,0.15121608565702754,f,0.28433510003378615,0,0.24
2,0.1188236263293746,0.1188236263293746,f,0.35196240001823753,0,0.0
3,0.14210170458291416,0.14210170458291416,j,0.29745090001961216,0,0.0
4,0.10196373097939637,0.06933533706598953,f,0.30322200001683086,1,-0.32
5,0.17283980265191573,0.15901261843976247,f,0.34686370001873,1,-0.08
6,0.14469487782053841,0.12154369736925226,f,0.3066435999935493,1,-0.16
7,0.15947924566706065,0.1212042267069661,f,0.24600839999038726,1,-0.24
8,0.1200600878213754,0.13926970187279544,j,0.32893640000838786,1,0.16
9,0.16945482969092251,0.1423420569403749,j,0.24428199999965727,0,-0.16
10,0.12368594855756905,0.1335808244421746,j,0.2805915000499226,1,0.08
11,0.18475191959632523,0.19953207316403127,f,0.2760415999800898,0,0.08
12,0.15151575897390773,0.1878795411276456,j,0.35760190000291914,1,0.24
13,0.19556047106938215,0.13298112032717985,f,0.293515200028196,1,-0.32
14,0.17701066221186504,0.13452810328101744,f,0.2404077000101097,1,-0.24
15,0.1297443730716122,0.0882261736886963,f,0.38899800000945106,1,-0.32
16,0.184150933226317,0.24307923185873848,j,0.30497190001187846,1,0.32
17,0.11342526308073686,0.13157330517365476,j,0.32881420000921935,1,0.16
18,0.17468205969181422,0.17468205969181422,f,0.31312800000887364,0,0.0
19,0.11964488301970959,0.11964488301970959,j,0.2615574999945238,0,0.0
20,0.1639000150709316,0.21634801989362973,j,0.2529604000155814,1,0.32
21,0.11561232929060367,0.12486131563385197,j,0.3807846999843605,1,0.08
22,0.16271945295890683,0.1887545654323319,j,0.2626408999785781,1,0.16
23,0.1947279946611083,0.2414627133797743,j,0.25807119999080896,1,0.24
24,0.15750779158481,0.19530966156516438,j,0.18461729999398813,1,0.24
25,0.18894902742521869,0.17383310523120118,j,0.273118200013414,0,-0.08
26,0.14810569747697488,0.1362572416788169,f,0.420584500010591,1,-0.08
27,0.10005585873832076,0.07604245264112378,f,0.31914949999190867,1,-0.24
28,0.12987809957763458,0.11948785161142382,f,0.3137272000312805,1,-0.08
29,0.18721528203758808,0.24712417228961628,j,0.306850699998904,1,0.32
30,0.1357762811617279,0.17922469113348086,j,0.3280568000045605,1,0.32
31,0.14579924164788158,0.09914348432055946,f,0.32791310001630336,1,-0.32
32,0.19919615843770935,0.16732477308767585,f,0.3443561000167392,1,-0.16
33,0.16722850266892852,0.1939850630959571,j,0.30006239999784157,1,0.16
34,0.10280330237722804,0.1110275665674063,j,0.30578210001112893,1,0.08
35,0.11049090884147986,0.09281236342684307,j,0.3218794999993406,0,-0.16
36,0.17049467290503112,0.12957595140782366,f,0.26463910000165924,1,-0.24
