Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.13968667912208152,0.17321148211138107,j,0.3872711000149138,1,0.24
2,0.16236497043407155,0.17535416806879728,f,0.3014005000004545,0,0.08
3,0.1504035510343238,0.10227441470334017,f,0.25353139999788254,1,-0.32
4,0.19934837932013555,0.19934837932013555,j,0.3198551000095904,0,0.0
5,0.19162148136313362,0.22228091838123498,j,0.2989691999973729,1,0.16
6,0.12023583369274088,0.13947356708357941,j,0.4298822999699041,1,0.16
7,0.1885290840553657,0.12819977715764866,f,0.24871309997979552,1,-0.32
8,0.18296497824260619,0.1976021765020147,f,0.26693789998535067,0,0.08
9,0.13523099062078642,0.11359403212146059,j,0.2997245999868028,0,-0.16
10,0.12395689021776402,0.16362309508744852,j,0.3662660999689251,1,0.32
11,0.17302468065146479,0.13149875729511323,f,0.2507959999493323,1,-0.24
12,0.10214532708624251,0.10214532708624251,j,0.33812039997428656,0,0.0
13,0.17378084349641398,0.21548824593555335,f,0.2144323000102304,0,0.24
14,0.17734261170906107,0.21990483851923573,j,0.23398180003277957,1,0.24
15,0.15255636937714445,0.17696538847748755,f,0.4302358999848366,0,0.16
16,0.15141561665438624,0.10296261932498263,f,0.32985849998658523,1,-0.32
17,0.15004200820020053,0.1140319262321524,f,0.2760396000230685,1,-0.24
18,0.1395353828719034,0.16186104413140792,j,0.3717538000200875,1,0.16
19,0.1895385655063883,0.25019090646843256,f,0.19017050002003089,0,0.32
20,0.13893121277861675,0.12781671575632741,f,0.2639359000022523,1,-0.08
21,0.13531838579726868,0.12449291493348719,f,0.33805839996784925,1,-0.08
22,0.17650929010910243,0.14826780369164605,f,0.2551505000446923,1,-0.16
23,0.1444847752724633,0.12136721122886918,f,0.32718770002247766,1,-0.16
24,0.16651835212752603,0.11323247944671769,f,0.1909925999934785,1,-0.32
25,0.16599591798594965,0.21911461174145355,j,0.34338919998845086,1,0.32
26,0.19475586914546605,0.1480144605505542,f,0.29593910003313795,1,-0.24
27,0.19128487693056465,0.17598208677611948,j,0.32587930001318455,0,-0.08
28,0.19368139484635719,0.2556594411971915,f,0.24613720003981143,0,0.32
29,0.1821424445502059,0.19671384011422238,j,0.5052475000265986,1,0.08
30,0.14918370349224921,0.16111839977162917,j,0.33898890001000836,1,0.08
31,0.13120549733753595,0.16269481669854458,j,0.5344324000179768,1,0.24
32,0.16752850304360606,0.1273216623131406,f,0.3095067000249401,1,-0.24
33,0.12202753654453576,0.10250313069741003,j,0.26239550003083423,0,-0.16
34,0.14888957020123017,0.14888957020123017,f,0.3027629000134766,0,0.0
35,0.16782274970036534,0.15439692972433613,f,0.3623072999762371,1,-0.08
36,0.17287092439141416,0.17287092439141416,f,0.3658669000142254,0,0.0
