Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.15532624021084096,0.10562184334337184,f,0.3975936999777332,1,-0.32
2,0.14176655387401008,0.09640125663432685,f,0.2631468999898061,1,-0.32
3,0.17803330573502243,0.12106264789981525,f,0.23469539999496192,1,-0.32
4,0.15516240928265523,0.10551043831220555,f,0.2732937999535352,1,-0.32
5,0.16225421412180013,0.2141755626407762,j,0.23409440001705661,1,0.32
6,0.1073894279915435,0.14175404494883742,j,0.4441753999562934,1,0.32
7,0.11291876621413335,0.14905277140265602,j,0.28994370001601055,1,0.32
8,0.18324073152175407,0.24187776560871538,j,0.3325677999528125,1,0.32
9,0.1270608767339531,0.09656626631780436,f,0.2590790999820456,1,-0.24
10,0.18147910940737536,0.13792412314960528,f,0.2170136999920942,1,-0.24
11,0.11470360967992875,0.14223247600311165,f,0.21084630000405014,0,0.24
12,0.1001839058643068,0.07613976845687316,f,0.3402996999793686,1,-0.24
13,0.15472190297601757,0.11758864626177336,f,0.37890969996806234,1,-0.24
14,0.1856418589715717,0.2301959051247489,j,0.19862480001756921,1,0.24
15,0.172420157774166,0.21380099563996585,j,0.1952797999838367,1,0.24
16,0.11569602388839514,0.14346306962160998,j,0.20153050002409145,1,0.24
17,0.11537085101763017,0.09691151485480934,f,0.254090600006748,1,-0.16
18,0.11199283500954639,0.1299116886110738,j,0.3453727000160143,1,0.16
19,0.12854944169608398,0.10798153102471054,f,0.2527039999840781,1,-0.16
20,0.14921374861606954,0.17308794839464064,j,0.3082198999472894,1,0.16
21,0.181362060635291,0.21037999033693755,j,0.26276139996480197,1,0.16
22,0.19195683515273715,0.22266992877717506,j,0.24939449998782948,1,0.16
23,0.18876812559096418,0.1585652254964099,f,0.30470510001759976,1,-0.16
24,0.19467704395161614,0.16352871691935755,f,0.3391304000397213,1,-0.16
25,0.16862966316564215,0.15513929011239078,j,0.2736661999952048,0,-0.08
26,0.19031490437959087,0.20554009672995815,j,0.30632979999063537,1,0.08
27,0.1601166058473543,0.17292593431514264,j,0.2545518000260927,1,0.08
28,0.14898421287933838,0.16090294990968546,j,0.25273880001623183,1,0.08
29,0.15698659948619054,0.1444276715272953,f,0.35335990000749007,1,-0.08
30,0.12144034521351289,0.11172511759643186,f,0.24681330000748858,1,-0.08
31,0.10151136327507297,0.09339045421306713,f,0.2947169999824837,1,-0.08
32,0.13762386574856864,0.14863377500845415,j,0.2830854000058025,1,0.08
33,0.1412131604874569,0.1412131604874569,j,0.24931350001133978,0,0.0
34,0.13618643116266294,0.13618643116266294,j,0.24528830003691837,0,0.0
35,0.16015914059992203,0.16015914059992203,f,0.40865860000485554,0,0.0
36,0.1352118304931033,0.1352118304931033,f,0.43149869999615476,0,0.0
