Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.1488271821885664,0.19645188048890763,j,0.4425925000105053,1,0.32
2,0.16688926407339064,0.22029382857687566,j,0.2767205000272952,1,0.32
3,0.13332497300245796,0.09066098164167141,f,0.302822700003162,1,-0.32
4,0.15480085026142848,0.2043371223450856,j,0.28872229997068644,1,0.32
5,0.18250124482304886,0.12410084647967322,f,0.26370019995374605,1,-0.32
6,0.13970730146702265,0.09500096499757539,f,0.2636540000094101,1,-0.32
7,0.18943837667755012,0.12881809614073406,f,0.23574059997918084,1,-0.32
8,0.1660787983257278,0.2192240137899607,j,0.2673575000371784,1,0.32
9,0.18407960106502846,0.13990049680942163,f,0.21842509997077286,1,-0.24
10,0.13642906965616425,0.16917204637364366,j,0.2666947999969125,1,0.24
11,0.1831461136820655,0.13919104639836977,f,0.20836479996796697,1,-0.24
12,0.14032876494563873,0.17400766853259203,j,0.22989909996977076,1,0.24
13,0.17605485946605126,0.21830802573790356,j,0.331467000010889,1,0.24
14,0.19884616320202927,0.2465692423705163,f,0.189461600035429,0,0.24
15,0.1414839846586565,0.10752782834057895,f,0.24871409998741,1,-0.24
16,0.11197710738851548,0.08510260161527176,f,0.5411655000061728,1,-0.24
17,0.11524625144746953,0.13368565167906465,j,0.3138090999564156,1,0.16
18,0.13591223838299515,0.11416628024171592,f,0.2207407999667339,1,-0.16
19,0.15027639035675347,0.1262321678996729,f,0.28132869995897636,1,-0.16
20,0.17834231607734322,0.1498075455049683,j,0.3395278000389226,0,-0.16
21,0.15364556375707378,0.17822885395820556,j,0.3173116000252776,1,0.16
22,0.1782993143568417,0.14977142405974703,f,0.2762425999972038,1,-0.16
23,0.11567693518869147,0.1341852448188821,j,0.2896621000254527,1,0.16
24,0.12154151217855172,0.14098815412711999,f,0.2880938000162132,0,0.16
25,0.10588409587886503,0.11435482354917424,j,0.5236217000056058,1,0.08
26,0.14916631463061453,0.1610996198010637,f,0.3760834999848157,0,0.08
27,0.14366623413064766,0.1551595328610995,j,0.34690589999081567,1,0.08
28,0.15133476296301335,0.13922798192597227,f,0.3226554000284523,1,-0.08
29,0.1948038414850258,0.17921953416622374,f,0.38066949998028576,1,-0.08
30,0.10114688364100557,0.09305513294972513,j,0.3291128000128083,0,-0.08
31,0.12421729039087426,0.11427990715960432,f,0.3330734000192024,1,-0.08
32,0.14399451560787213,0.1555140768565019,f,0.47979579999810085,0,0.08
33,0.1778471822271799,0.1778471822271799,f,0.2712551000295207,0,0.0
34,0.19447547743052704,0.19447547743052704,f,0.16186270001344383,0,0.0
35,0.1251087716917822,0.1251087716917822,f,0.28214830002980307,0,0.0
36,0.15978142557628444,0.15978142557628444,f,0.2500656000338495,0,0.0
