Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.19634940991330002,0.19634940991330002,f,0.2503195999888703,0,0.0
2,0.10557400043556567,0.10557400043556567,f,0.3276614000205882,0,0.0
3,0.15686772998209242,0.15686772998209242,f,0.23527659999672323,0,0.0
4,0.17748581647033218,0.17748581647033218,f,0.20845939998980612,0,0.0
5,0.18723639510578202,0.2022153067142446,j,0.332470299967099,1,0.08
6,0.19994143075703427,0.21593674521759704,j,0.3295516999787651,1,0.08
7,0.17391372618947998,0.16000062809432158,f,0.2924936999916099,1,-0.08
8,0.18643523216599323,0.2013500507392727,f,0.2638707000296563,0,0.08
9,0.1029485466466859,0.11118443037842078,j,0.28994149999925867,1,0.08
10,0.11530382458876064,0.10607951862165979,f,0.30868940002983436,1,-0.08
11,0.1000975684558515,0.09208976297938337,j,0.25602589995833114,0,-0.08
12,0.1477246813598997,0.13590670685110773,f,0.24973789998330176,1,-0.08
13,0.13948349839956592,0.16180085814349646,f,0.33920210000360385,0,0.16
14,0.16743125099103084,0.19422025114959576,j,0.29119990003528073,1,0.16
15,0.12776340164063657,0.10732125737813472,f,0.2987459000432864,1,-0.16
16,0.11285087424635301,0.1309070141257695,j,0.3730299000162631,1,0.16
17,0.1742217549111758,0.20209723569696392,j,0.24604890000773594,1,0.16
18,0.14180900158963006,0.11911956133528924,f,0.25669830001425,1,-0.16
19,0.1858577894431631,0.156120543132257,f,0.28382449998753145,1,-0.16
20,0.112227606157288,0.09427118917212192,f,0.33722729998407885,1,-0.16
21,0.11943891508486629,0.1481042547052342,j,0.28118150000227615,1,0.24
22,0.1157887151688334,0.08799942352831339,f,0.2862479999894276,1,-0.24
23,0.19415992995587822,0.14756154676646746,f,0.21865810005692765,1,-0.24
24,0.15793494346694797,0.19583932989901548,j,0.2624137999955565,1,0.24
25,0.19891117488607155,0.24664985685872873,f,0.22408839996205643,0,0.24
26,0.11410840224533352,0.14149441878421357,j,0.3352244999841787,1,0.24
27,0.10508994291214724,0.0798683566132319,f,0.2742349000182003,1,-0.24
28,0.18099846980314513,0.1375588370503903,f,0.24441329995170236,1,-0.24
29,0.1176942941016862,0.08003211998914661,f,0.1881229000282474,1,-0.32
30,0.18089283622757368,0.23877854382039726,j,0.3193979000207037,1,0.32
31,0.1761240763580745,0.23248378079265836,j,0.19923619995824993,1,0.32
32,0.10755543772457915,0.07313769765271382,f,0.28865300002507865,1,-0.32
33,0.18105089373800815,0.12311460774184553,f,0.2475923000019975,1,-0.32
34,0.14515131382378615,0.09870289340017457,f,0.2669332000077702,1,-0.32
35,0.11687991881128841,0.1542814928309007,j,0.30246159998932853,1,0.32
36,0.16073319817161183,0.21216782158652764,j,0.22522459999890998,1,0.32
