Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.12949364989241335,0.12949364989241335,f,0.37878239998826757,0,0.0
2,0.11232014575091892,0.11232014575091892,f,0.30967129999771714,0,0.0
3,0.11630061739265696,0.11630061739265696,f,0.43822389998240396,0,0.0
4,0.13804839366501295,0.13804839366501295,f,0.3053987000021152,0,0.0
5,0.1536607845372756,0.14136792177429355,f,0.3567699999548495,1,-0.08
6,0.17635113619653947,0.19045922709226265,j,0.3225205999915488,1,0.08
7,0.17311838138843505,0.15926891087736025,f,0.2826519000227563,1,-0.08
8,0.11142344020988697,0.10250956499309602,j,0.28904349997173995,0,-0.08
9,0.13353545774624423,0.14421829436594377,j,0.27353750000474975,1,0.08
10,0.11077873405622413,0.1019164353317262,f,0.3355714000063017,1,-0.08
11,0.16156504312256476,0.17449024657236994,j,0.31569680001121014,1,0.08
12,0.13556071587138632,0.14640557314109723,j,0.3170372999738902,1,0.08
13,0.1970406134091891,0.22856711155465934,j,0.28995770000619814,1,0.16
14,0.10499573816003342,0.08819642005442807,f,0.30005109997000545,1,-0.16
15,0.18581376990573695,0.21554397309065484,f,0.20918349997373298,0,0.16
16,0.15537620469636412,0.18023639744778236,j,0.2928001999971457,1,0.16
17,0.18709641967066457,0.15716099252335822,f,0.27466029999777675,1,-0.16
18,0.12244986693552219,0.10285788822583863,f,0.27537129999836907,1,-0.16
19,0.10981998152847691,0.1273911785730332,j,0.31735859997570515,1,0.16
20,0.13074236924037214,0.1098235901619126,f,0.2754113000119105,1,-0.16
21,0.10421554380194126,0.12922727431440717,j,0.3283017000067048,1,0.24
22,0.14190405340013656,0.10784708058410379,f,0.2948441000189632,1,-0.24
23,0.18366229266784354,0.22774124290812597,j,0.2761647999868728,1,0.24
24,0.14596375999614172,0.18099506239521573,j,0.3335879999794997,1,0.24
25,0.14264240866316785,0.10840823058400757,f,0.2540240000234917,1,-0.24
26,0.11132667570712088,0.08460827353741186,f,0.39974419999634847,1,-0.24
27,0.13435170926228562,0.16659611948523417,j,0.3333419000264257,1,0.24
28,0.18192798423533985,0.13826526801885827,f,0.26995300000999123,1,-0.24
29,0.18638455957405164,0.1267415005103551,f,0.2740845000371337,1,-0.32
30,0.18177977221539957,0.23994929932432743,j,0.3084046999574639,1,0.32
31,0.11481656137210708,0.15155786101118135,f,0.2877754000364803,0,0.32
32,0.1602179986221669,0.10894823906307348,f,0.30809649999719113,1,-0.32
33,0.14780129274454032,0.19509770642279323,j,0.3753800999838859,1,0.32
34,0.10322122642145606,0.13625201887632202,j,0.33508380001876503,1,0.32
35,0.19514802247971083,0.13270065528620334,f,0.28320010000607,1,-0.32
36,0.15836203458318782,0.10768618351656771,f,0.34913439996307716,1,-0.32
