Index,Height(Inches),Weight(Pounds),Gender
1,65.78331,112.9925,Boy
2,71.51521,136.4873,Boy
3,69.39874,153.0269,GIRL
4,68.2166,142.3354,GIRL
5,67.78781,144.2971,GIRL
6,68.69784,123.3024,Boy
7,69.80204,141.4947,GIRL
8,70.01472,136.4623,GIRL
9,67.90265,112.3723,Boy
10,66.78236,120.6672,Boy
11,66.48769,127.4516,GIRL
12,67.62333,114.143,Boy
13,68.30248,125.6107,Boy
14,67.11656,122.4618,Boy
15,68.27967,116.0866,Boy
16,71.0916,139.9975,GIRL
17,66.461,129.5023,GIRL
18,68.64927,142.9733,GIRL
19,71.23033,137.9025,Boy
20,67.13118,124.0449,GIRL
21,67.83379,141.2807,GIRL
22,68.87881,143.5392,GIRL
23,63.48115,97.90191,Boy
24,68.42187,129.5027,GIRL
25,67.62804,141.8501,GIRL
26,67.20864,129.7244,GIRL
27,70.84235,142.4235,GIRL
28,67.49434,131.5502,GIRL
29,66.53401,108.3324,Boy
30,65.44098,113.8922,Boy
31,69.5233,103.3016,Boy
32,65.8132,120.7536,GIRL
33,67.8163,125.7886,Boy
34,70.59505,136.2225,Boy
35,71.80484,140.1015,Boy
36,69.20613,128.7487,Boy
37,66.80368,141.7994,GIRL
38,67.65893,121.2319,Boy
39,67.80701,131.3478,GIRL
40,64.04535,106.7115,Boy
41,68.57463,124.3598,Boy
42,65.18357,124.8591,GIRL
43,69.65814,139.6711,GIRL
44,67.96731,137.3696,GIRL
45,65.98088,106.4499,Boy
46,68.67249,128.7639,Boy
47,66.88088,145.6837,GIRL
48,67.69868,116.819,Boy
49,69.82117,143.6215,GIRL
50,69.08817,134.9325,GIRL
51,69.91479,147.0219,GIRL
52,67.33182,126.3285,GIRL
53,70.26939,125.4839,Boy
54,69.10344,115.7084,Boy
55,65.38356,123.4892,GIRL
56,70.18447,147.8926,GIRL
57,70.40617,155.8987,GIRL
58,66.54376,128.0742,GIRL
59,66.36418,119.3701,Boy
60,67.537,133.8148,GIRL
61,66.50418,128.7325,GIRL
62,68.99958,137.5453,GIRL
63,68.30355,129.7604,GIRL
64,67.01255,128.824,GIRL
65,70.80592,135.3165,Boy
66,68.21951,109.6113,Boy
67,69.05914,142.4684,GIRL
68,67.73103,132.749,GIRL
69,67.21568,103.5275,Boy
70,67.36763,124.7299,GIRL
71,65.27033,129.3137,GIRL
72,70.84278,134.0175,Boy
73,69.92442,140.3969,GIRL
74,64.28508,102.8351,Boy
75,68.2452,128.5214,GIRL
76,66.35708,120.2991,Boy
77,68.36275,138.6036,GIRL
78,65.4769,132.9574,GIRL
79,69.71947,115.6233,Boy
80,67.72554,122.524,Boy
81,68.63941,134.6254,GIRL
82,66.78405,121.8986,Boy
83,70.05147,155.3767,GIRL
84,66.27848,128.9418,GIRL
85,69.20198,129.1013,Boy
86,69.13481,139.4733,GIRL
87,67.36436,140.8901,GIRL
88,70.09297,131.5916,Boy
89,70.1766,121.1232,Boy
90,68.22556,131.5127,GIRL
91,68.12932,136.5479,GIRL
92,70.24256,141.4896,GIRL
93,71.48752,140.6104,GIRL
94,69.20477,112.1413,Boy
95,70.06306,133.457,Boy
96,70.55703,131.8001,Boy
97,66.28644,120.0285,Boy
98,63.42577,123.0972,GIRL
99,66.76711,128.1432,GIRL
100,68.88741,115.4759,Boy
101,64.87434,102.0927,Boy
102,67.09272,130.353,GIRL
103,68.34761,134.1842,GIRL
104,65.61073,98.64133,Boy
105,67.75551,114.5599,Boy
106,68.0212,123.4917,Boy
107,67.66193,123.048,Boy
108,66.3146,126.4772,GIRL
109,69.43706,128.417,Boy
110,63.83624,127.1941,GIRL
111,67.72277,122.0562,Boy
112,70.05098,127.6064,Boy
113,70.18602,131.6423,Boy
114,65.94588,111.8955,Boy
115,70.007,122.039,Boy
116,68.61129,128.5547,Boy
117,68.80817,132.6792,GIRL
118,69.76212,136.0632,GIRL
119,65.45539,115.9403,Boy
120,68.82534,136.9041,GIRL
121,65.8003,119.8804,GIRL
122,67.21474,109.0055,Boy
123,69.42021,128.2705,Boy
124,68.94396,135.2913,GIRL
125,67.9415,106.8558,Boy
126,65.62506,123.2939,GIRL
127,66.49607,109.5143,Boy
128,67.92809,119.3087,Boy
129,68.89415,140.2402,GIRL
130,70.241,133.9841,Boy
131,68.26623,132.5807,GIRL
132,71.23161,130.6988,Boy
133,69.09747,115.5637,Boy
134,64.39693,123.7941,GIRL
135,71.09585,128.1427,Boy
136,68.21868,135.9646,GIRL
137,65.91721,116.6273,Boy
138,67.4369,126.8241,GIRL
139,73.90107,151.3913,GIRL
140,69.98149,130.4022,Boy
141,69.51862,136.2068,GIRL
142,65.18437,113.3989,Boy
143,68.00869,125.3287,Boy
144,68.3384,127.5846,Boy
145,65.18417,107.1564,Boy
146,68.26209,116.4588,Boy
147,68.56865,133.8402,GIRL
148,64.49675,112.8901,Boy
149,68.71053,130.7568,GIRL
150,68.89148,137.7571,GIRL
151,69.54011,125.4036,Boy
152,67.39964,138.4659,GIRL
153,66.47521,120.8184,Boy
154,66.01217,140.1539,GIRL
155,72.44434,136.7397,Boy
156,64.12642,106.1139,Boy
157,70.98112,158.9562,GIRL
158,67.50124,108.7868,Boy
159,72.01515,138.7758,Boy
160,65.31143,115.9136,Boy
161,67.07509,146.2922,GIRL
162,64.39148,109.8765,Boy
163,69.37003,139.0499,GIRL
164,68.37921,119.9001,Boy
165,65.31018,128.3069,GIRL
166,67.1369,127.2428,GIRL
167,68.39468,115.2306,Boy
168,66.2918,124.7975,GIRL
169,67.1866,126.9511,GIRL
170,65.99156,111.2711,Boy
171,69.43393,122.6089,Boy
172,67.97463,124.2084,Boy
173,67.76133,124.6453,Boy
174,65.27864,119.5169,GIRL
175,73.83364,139.2983,Boy
176,66.81312,104.8265,Boy
177,66.89411,123.0424,GIRL
178,65.73568,118.8923,GIRL
179,65.98283,121.4939,GIRL
180,66.58396,119.2488,Boy
181,67.11294,135.0239,GIRL
182,65.87481,116.228,Boy
183,66.78067,109.1731,Boy
184,68.73577,124.2237,Boy
185,66.22666,141.1645,GIRL
186,65.95968,129.1501,GIRL
187,68.58372,127.8693,Boy
188,66.59347,120.9244,Boy
189,66.96574,127.6466,GIRL
190,68.08015,101.4693,Boy
191,70.19025,144.9927,GIRL
192,65.52149,110.9523,Boy
193,67.45905,132.8625,GIRL
194,67.40985,146.3385,GIRL
195,69.66158,145.5894,GIRL
196,65.79799,120.8431,GIRL
197,66.10558,115.7813,Boy
198,68.23987,128.3019,GIRL
199,68.02403,127.4718,GIRL
200,71.39044,127.8761,Boy
201,65.7316,121.4997,GIRL
202,66.43358,112.7148,Boy
203,70.01309,135.002,GIRL
204,69.48146,128.6789,Boy
205,68.62764,124.4062,Boy
206,68.36275,140.026,GIRL
207,68.39028,117.519,Boy
208,68.77413,143.8737,GIRL
209,69.9236,141.1703,GIRL
210,71.55542,155.9414,GIRL
211,68.44764,134.0093,GIRL
212,66.71398,130.0975,GIRL
213,66.68413,106.2265,Boy
214,67.93699,112.0489,Boy
215,68.89855,136.1884,GIRL
216,67.29191,131.236,GIRL
217,69.57212,131.3231,Boy
218,67.67479,119.5261,Boy
219,69.04155,116.9965,Boy
220,67.96765,138.5255,GIRL
221,65.83982,109.6518,Boy
222,65.77288,130.1569,GIRL
223,71.14106,137.1114,Boy
224,67.83055,113.759,Boy
225,65.0693,114.9725,Boy
226,69.70745,127.7149,Boy
227,69.92983,121.9972,Boy
228,66.11569,117.9607,Boy
229,68.61364,127.7141,Boy
230,68.9976,117.9619,Boy
231,66.79171,125.1554,GIRL
232,68.02363,141.1026,GIRL
233,69.67258,145.4822,GIRL
234,71.82178,116.065,Boy
235,72.74676,135.7458,Boy
236,67.27951,132.9248,GIRL
237,67.41015,115.6622,Boy
238,68.5315,114.3184,Boy
239,68.47126,148.952,GIRL
240,68.51867,142.1878,GIRL
241,63.72529,134.104,GIRL
242,67.70483,141.8926,GIRL
243,69.47115,138.7444,GIRL
244,66.70198,134.449,GIRL
245,65.23126,117.0167,GIRL
246,69.89473,115.6752,Boy
247,69.83048,134.7905,GIRL
248,65.3979,120.5746,GIRL
249,68.32214,120.0835,Boy
250,65.93895,84.3598,Boy
251,70.09805,138.9394,GIRL
252,66.05531,143.5245,GIRL
253,68.23481,123.1347,Boy
254,65.21758,115.5261,Boy
255,69.16173,120.9844,Boy
256,67.60064,120.6473,Boy
257,67.28621,124.0352,Boy
258,66.84323,117.2238,Boy
259,68.08281,127.9598,GIRL
260,66.56991,116.7527,Boy
