checkpoint/diffkendall/tieredimagenet/1shot-5way/
epoch:001,training_loss:0.13488,training_acc:0.78287,val_loss:1.49891,val_acc:0.67847
epoch:002,training_loss:0.14550,training_acc:0.76987,val_loss:1.49868,val_acc:0.67713
epoch:003,training_loss:0.14473,training_acc:0.77260,val_loss:1.50119,val_acc:0.67347
epoch:004,training_loss:0.13778,training_acc:0.78227,val_loss:1.49939,val_acc:0.67573
epoch:005,training_loss:0.13585,training_acc:0.78207,val_loss:1.49832,val_acc:0.67820
epoch:006,training_loss:0.14660,training_acc:0.76807,val_loss:1.49904,val_acc:0.67640
epoch:007,training_loss:0.14504,training_acc:0.76260,val_loss:1.50052,val_acc:0.67407
epoch:008,training_loss:0.14614,training_acc:0.76307,val_loss:1.49976,val_acc:0.67620
epoch:009,training_loss:0.14236,training_acc:0.77387,val_loss:1.49725,val_acc:0.67880
epoch:010,training_loss:0.14659,training_acc:0.76673,val_loss:1.49906,val_acc:0.67653
epoch:011,training_loss:0.14068,training_acc:0.77707,val_loss:1.49987,val_acc:0.67313
epoch:012,training_loss:0.14265,training_acc:0.77627,val_loss:1.49883,val_acc:0.67693
epoch:013,training_loss:0.14594,training_acc:0.76660,val_loss:1.49894,val_acc:0.67840
epoch:014,training_loss:0.14534,training_acc:0.76287,val_loss:1.50027,val_acc:0.67753
epoch:015,training_loss:0.13683,training_acc:0.77947,val_loss:1.49958,val_acc:0.67833
epoch:016,training_loss:0.13659,training_acc:0.77833,val_loss:1.49848,val_acc:0.67760
epoch:017,training_loss:0.14871,training_acc:0.76473,val_loss:1.50025,val_acc:0.67247
epoch:018,training_loss:0.14058,training_acc:0.77433,val_loss:1.49967,val_acc:0.67707
epoch:019,training_loss:0.13904,training_acc:0.78047,val_loss:1.50005,val_acc:0.67553
epoch:020,training_loss:0.13950,training_acc:0.77847,val_loss:1.49851,val_acc:0.67720
epoch:021,training_loss:0.13889,training_acc:0.78033,val_loss:1.50019,val_acc:0.67653
epoch:022,training_loss:0.14453,training_acc:0.76460,val_loss:1.49884,val_acc:0.67920
epoch:023,training_loss:0.14028,training_acc:0.77867,val_loss:1.50045,val_acc:0.67447
epoch:024,training_loss:0.13818,training_acc:0.77713,val_loss:1.49942,val_acc:0.67880
epoch:025,training_loss:0.13996,training_acc:0.78173,val_loss:1.50030,val_acc:0.67260
epoch:026,training_loss:0.13851,training_acc:0.78073,val_loss:1.49895,val_acc:0.67860
epoch:027,training_loss:0.14237,training_acc:0.77540,val_loss:1.49839,val_acc:0.67627
epoch:028,training_loss:0.14694,training_acc:0.76793,val_loss:1.49921,val_acc:0.68007
epoch:029,training_loss:0.13606,training_acc:0.78600,val_loss:1.49992,val_acc:0.67827
epoch:030,training_loss:0.14584,training_acc:0.76427,val_loss:1.49872,val_acc:0.68187
epoch:031,training_loss:0.13702,training_acc:0.78367,val_loss:1.49875,val_acc:0.67993
epoch:032,training_loss:0.13868,training_acc:0.77727,val_loss:1.49926,val_acc:0.67567
epoch:033,training_loss:0.14328,training_acc:0.77607,val_loss:1.49930,val_acc:0.68000
epoch:034,training_loss:0.13514,training_acc:0.78987,val_loss:1.49871,val_acc:0.68080
epoch:035,training_loss:0.13516,training_acc:0.78340,val_loss:1.49764,val_acc:0.67993
epoch:036,training_loss:0.14281,training_acc:0.77547,val_loss:1.49883,val_acc:0.67993
epoch:037,training_loss:0.14387,training_acc:0.77647,val_loss:1.49949,val_acc:0.67747
epoch:038,training_loss:0.14179,training_acc:0.77140,val_loss:1.49901,val_acc:0.67860
epoch:039,training_loss:0.14110,training_acc:0.77767,val_loss:1.49992,val_acc:0.68100
epoch:040,training_loss:0.14004,training_acc:0.77533,val_loss:1.49785,val_acc:0.68027
epoch:041,training_loss:0.13827,training_acc:0.78420,val_loss:1.49796,val_acc:0.68267
epoch:042,training_loss:0.13523,training_acc:0.78420,val_loss:1.49756,val_acc:0.67960
epoch:043,training_loss:0.14080,training_acc:0.77407,val_loss:1.49952,val_acc:0.67760
epoch:044,training_loss:0.14255,training_acc:0.76973,val_loss:1.49913,val_acc:0.68047
epoch:045,training_loss:0.14100,training_acc:0.77180,val_loss:1.49896,val_acc:0.67820
epoch:046,training_loss:0.13592,training_acc:0.77793,val_loss:1.49982,val_acc:0.67767
epoch:047,training_loss:0.14629,training_acc:0.76153,val_loss:1.50016,val_acc:0.67753
epoch:048,training_loss:0.14068,training_acc:0.77673,val_loss:1.49854,val_acc:0.68060
epoch:049,training_loss:0.13733,training_acc:0.78553,val_loss:1.49810,val_acc:0.67893
epoch:050,training_loss:0.13634,training_acc:0.78207,val_loss:1.49836,val_acc:0.67907
